Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;15.4;12.9;85;
2023-09-01;0100;0;15;12.8;87;
2023-09-01;0200;0;14.8;12.7;87;
2023-09-01;0300;0;15.3;13;86;
2023-09-01;0400;0;15.8;13.5;87;
2023-09-01;0500;0;15.4;14;91;
2023-09-01;0600;0;15.4;14.1;92;
2023-09-01;0700;0;15.3;14.1;92;
2023-09-01;0800;0;15.3;13.9;91;
2023-09-01;0900;0;15;13.8;93;
2023-09-01;1000;0;14.4;13.5;95;
2023-09-01;1100;0;15.8;14;89;
2023-09-01;1200;0;18.5;14.2;76;
2023-09-01;1300;0;20.4;14.7;70;
2023-09-01;1400;0;21.3;13.1;60;
2023-09-01;1500;0;23;13;53;
2023-09-01;1600;0;24.7;14.6;54;
2023-09-01;1700;0;24.2;14.3;54;
2023-09-01;1800;0;23.9;15;57;
2023-09-01;1900;0;22.5;16.1;67;
2023-09-01;2000;0;21.5;16;71;
2023-09-01;2100;0;20.6;16;75;
2023-09-01;2200;0;20;15.2;74;
2023-09-01;2300;0;19.5;14.8;74;
2023-09-02;0000;.2;18;16.2;89;
2023-09-02;0100;.2;18.3;17.2;93;
2023-09-02;0200;.2;18.8;17;89;
2023-09-02;0300;0;18.1;16.6;91;
2023-09-02;0400;0;18.2;16.3;89;
2023-09-02;0500;0;18.7;15.9;83;
2023-09-02;0600;0;18.8;16;84;
2023-09-02;0700;0;19;15.9;82;
2023-09-02;0800;0;20.3;15.8;76;
2023-09-02;0900;0;18.9;16;83;
2023-09-02;1000;0;18.5;15.9;85;
2023-09-02;1100;0;18.8;16.2;85;
2023-09-02;1200;0;21.2;16;72;
2023-09-02;1300;0;22.6;16.2;67;
2023-09-02;1400;0;23.4;16.2;64;
2023-09-02;1500;.2;24;16;61;
2023-09-02;1600;0;24.6;16.4;60;
2023-09-02;1700;0;24;16.5;63;
2023-09-02;1800;0;24.5;16.5;61;
2023-09-02;1900;0;24.4;16.8;63;
2023-09-02;2000;0;23.7;17.1;67;
2023-09-02;2100;0;22.8;16.9;69;
2023-09-02;2200;0;22;17.2;74;
2023-09-02;2300;0;21.3;17.4;79;
2023-09-03;0000;0;21;17.3;79;
2023-09-03;0100;0;19.9;17.3;85;
