Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;12.5;8.6;77;
2023-09-01;0100;0;12.3;8.9;80;
2023-09-01;0200;0;13;9.2;78;
2023-09-01;0300;0;12.6;9.2;79;
2023-09-01;0400;0;12.6;8.9;79;
2023-09-01;0500;0;13.3;9.4;77;
2023-09-01;0600;0;13.3;9.3;77;
2023-09-01;0700;0;13.7;10;79;
2023-09-01;0800;0;13.2;10.5;84;
2023-09-01;0900;0;13.2;11.5;89;
2023-09-01;1000;0;13.2;11.9;92;
2023-09-01;1100;0;15.9;12.4;80;
2023-09-01;1200;0;16.9;13.1;79;
2023-09-01;1300;0;18.9;14.3;75;
2023-09-01;1400;0;20.6;14.8;70;
2023-09-01;1500;0;21.4;15.5;69;
2023-09-01;1600;0;20.3;15.6;74;
2023-09-01;1700;0;19.6;15.8;78;
2023-09-01;1800;0;18.7;16;84;
2023-09-01;1900;.2;18;16.2;89;
2023-09-01;2000;2;17.7;16;90;
2023-09-01;2100;1.8;17.3;16.5;95;
2023-09-01;2200;0;17.7;16;90;
2023-09-01;2300;.2;17.6;15.2;86;
2023-09-02;0000;0;18.3;14.1;77;
2023-09-02;0100;0;17.9;14.9;83;
2023-09-02;0200;0;17.7;15.3;86;
2023-09-02;0300;0;17.2;15.7;91;
2023-09-02;0400;0;17.1;15.9;92;
2023-09-02;0500;0;17.2;15.9;92;
2023-09-02;0600;0;17.4;15.8;90;
2023-09-02;0700;0;17.2;15.8;91;
2023-09-02;0800;0;17.3;15.9;91;
2023-09-02;0900;0;17;15.9;93;
2023-09-02;1000;0;16.4;15.7;96;
2023-09-02;1100;0;17.1;16.2;95;
2023-09-02;1200;0;18.5;16.6;88;
2023-09-02;1300;0;19.6;16.7;83;
2023-09-02;1400;0;20.9;16.7;77;
2023-09-02;1500;0;22.2;16.9;72;
2023-09-02;1600;0;22.4;16.6;70;
2023-09-02;1700;0;22.3;16.6;70;
2023-09-02;1800;0;22.9;17.1;70;
2023-09-02;1900;0;22.7;17.2;71;
2023-09-02;2000;0;20.3;16.3;78;
2023-09-02;2100;0;18.8;16.2;85;
2023-09-02;2200;0;18;16.1;89;
2023-09-02;2300;0;17.1;15.9;93;
2023-09-03;0000;0;15.6;15;96;
2023-09-03;0100;0;15.1;14.7;98;
2023-09-03;0200;0;14.9;14.6;98;
2023-09-03;0300;0;14.9;14.6;98;
2023-09-03;0400;0;14.9;14.6;98;
2023-09-03;0500;0;15.3;15;98;
2023-09-03;0600;0;15.3;15;98;
2023-09-03;0700;0;15.4;15.1;98;
2023-09-03;0800;0;15.3;14.7;96;
2023-09-03;0900;0;15.4;14.7;96;
2023-09-03;1000;0;15.5;14.7;95;
2023-09-03;1100;2;15.3;14.9;98;
2023-09-03;1200;0;15.2;14.8;97;
2023-09-03;1300;.6;15.1;14.7;97;
2023-09-03;1400;0;15.4;14.9;97;
2023-09-03;1500;0;16.1;15.3;95;
2023-09-03;1600;0;16.7;15.4;92;
2023-09-03;1700;0;17.1;15.7;92;
2023-09-03;1800;.8;16.9;16;95;
2023-09-03;1900;1.6;16.8;16.3;97;
2023-09-03;2000;0;16.6;16.1;97;
2023-09-03;2100;.2;17;16.5;97;
2023-09-03;2200;0;16.7;16.3;97;
2023-09-03;2300;0;16.5;16.1;98;
2023-09-04;0000;0;16.2;15.9;98;
2023-09-04;0100;0;16.3;16;98;
2023-09-04;0200;0;16.5;16.2;98;
2023-09-04;0300;0;16.1;15.8;98;
2023-09-04;0400;.2;16.2;15.9;98;
2023-09-04;0500;0;16.2;15.9;98;
2023-09-04;0600;0;16.1;15.8;98;
2023-09-04;0700;0;16.1;15.8;98;
2023-09-04;0800;0;15.8;15.5;98;
2023-09-04;0900;0;15.7;15.4;98;
2023-09-04;1000;0;15.8;15.5;98;
2023-09-04;1100;.6;15.6;15.3;98;
2023-09-04;1200;.2;15.9;15.6;98;
2023-09-04;1300;5.2;15.9;15.6;98;
2023-09-04;1400;3;16.5;16.3;98;
2023-09-04;1500;0;16.3;15.2;94;
2023-09-04;1600;0;15.3;14.7;96;
2023-09-04;1700;0;15;14.6;98;
2023-09-04;1800;.4;14.7;14.4;98;
2023-09-04;1900;1.2;15;14.6;97;
2023-09-04;2000;1;14.4;13.9;96;
2023-09-04;2100;.2;14.3;13.8;97;
2023-09-04;2200;.6;13.5;13.1;97;
2023-09-04;2300;.8;13.2;12.5;96;
2023-09-05;0000;1.6;13;12.1;94;
2023-09-05;0100;1.4;12.6;11.7;94;
2023-09-05;0200;1;11.8;10.1;89;
2023-09-05;0300;0;11.5;8.3;81;
2023-09-05;0400;0;11;8.5;84;
2023-09-05;0500;0;10.4;8.2;86;
2023-09-05;0600;0;9.9;6.7;81;
2023-09-05;0700;0;9.7;6.4;80;
2023-09-05;0800;0;8.4;6.3;87;
2023-09-05;0900;0;7.9;6.5;90;
2023-09-05;1000;0;7.7;6.7;93;
2023-09-05;1100;0;10.4;8;85;
2023-09-05;1200;0;11.7;8.7;82;
2023-09-05;1300;0;12.1;7.6;74;
2023-09-05;1400;0;13;7.5;69;
2023-09-05;1500;0;13.6;8.3;71;
2023-09-05;1600;0;14.5;8.8;69;
2023-09-05;1700;0;13.5;7.8;69;
2023-09-05;1800;0;13.2;7.4;68;
2023-09-05;1900;0;12.9;6.5;65;
2023-09-05;2000;0;11.8;6;67;
2023-09-05;2100;0;10.5;5.3;71;
2023-09-05;2200;0;9.5;5.6;77;
2023-09-05;2300;0;9.1;5.8;80;
2023-09-06;0000;0;8.3;5.6;84;
2023-09-06;0100;0;7.8;5.4;85;
2023-09-06;0200;0;7.3;5.9;91;
2023-09-06;0300;0;6.9;6;94;
2023-09-06;0400;0;6.6;5.9;96;
2023-09-06;0500;0;6.1;5.3;95;
2023-09-06;0600;0;6.2;5.6;96;
2023-09-06;0700;0;6.7;5.8;94;
