Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;17.3;11.9;71;
2023-09-01;0100;0;15;11.5;79;
2023-09-01;0200;0;16.1;13.8;86;
2023-09-01;0300;0;15.1;13.4;90;
2023-09-01;0400;0;14.4;11.9;85;
2023-09-01;0500;0;13.8;10.9;82;
2023-09-01;0600;0;13.2;11.5;89;
2023-09-01;0700;0;12.6;11.9;96;
2023-09-01;0800;0;12.6;12.3;98;
2023-09-01;0900;0;13;12.7;98;
2023-09-01;1000;0;13.4;13;98;
2023-09-01;1100;0;13.6;13.1;97;
2023-09-01;1200;0;14;13.1;94;
2023-09-01;1300;0;14.9;13.7;93;
2023-09-01;1400;0;16.6;14.1;85;
2023-09-01;1500;0;17.7;14.4;81;
2023-09-01;1600;0;19.5;15.9;80;
2023-09-01;1700;0;19.8;15.7;77;
2023-09-01;1800;0;19.2;16;81;
2023-09-01;1900;0;19.5;15.9;80;
2023-09-01;2000;0;19.7;15.7;78;
2023-09-01;2100;0;21.7;15.8;69;
2023-09-01;2200;0;18.7;16;84;
2023-09-01;2300;0;18.8;16;84;
2023-09-02;0000;0;19.3;16.2;82;
2023-09-02;0100;0;19.3;16.1;82;
2023-09-02;0200;0;20;15.8;77;
2023-09-02;0300;0;20.4;15.7;74;
2023-09-02;0400;0;20.2;15.7;75;
2023-09-02;0500;0;21.5;15.4;68;
2023-09-02;0600;0;19.9;15.7;77;
2023-09-02;0700;0;18.5;15.7;84;
2023-09-02;0800;0;17.1;16.1;94;
2023-09-02;0900;0;17.7;16.1;90;
2023-09-02;1000;0;16.6;16;96;
2023-09-02;1100;0;16.9;16.2;96;
2023-09-02;1200;0;17.8;16.5;92;
2023-09-02;1300;0;17.8;16.7;93;
2023-09-02;1400;0;19.7;16.8;83;
2023-09-02;1500;0;20.8;16;74;
2023-09-02;1600;0;21.2;16.6;75;
2023-09-02;1700;0;21.6;16.6;73;
2023-09-02;1800;0;21.6;17.2;76;
2023-09-02;1900;0;20.8;17.4;81;
2023-09-02;2000;0;20;18;88;
2023-09-02;2100;0;20.1;18;88;
2023-09-02;2200;0;19.5;17.5;88;
2023-09-02;2300;0;18.7;17;90;
2023-09-03;0000;0;17.9;17.2;96;
2023-09-03;0100;0;18.6;17.4;93;
2023-09-03;0200;0;18.1;17.3;96;
2023-09-03;0300;0;17.5;17.2;98;
2023-09-03;0400;0;17.4;17.2;99;
2023-09-03;0500;0;17.5;17.5;100;
2023-09-03;0600;.2;17.5;17.5;100;
2023-09-03;0700;.6;18;17.7;98;
2023-09-03;0800;1;17.7;17.7;100;
2023-09-03;0900;3.6;17.8;17.8;100;
2023-09-03;1000;1;19;18.4;96;
2023-09-03;1100;2.4;18;17.9;100;
2023-09-03;1200;2.4;17.9;17.9;100;
2023-09-03;1300;2;18.1;18.1;100;
2023-09-03;1400;4.2;18.1;18.1;100;
2023-09-03;1500;3.2;18.5;18.5;100;
2023-09-03;1600;2.2;18.7;18.6;100;
2023-09-03;1700;2;19.5;19;97;
2023-09-03;1800;0;19.9;19;95;
2023-09-03;1900;2.2;19.5;19.5;100;
2023-09-03;2000;1.2;19.4;19.3;100;
2023-09-03;2100;1.2;19.3;18.9;97;
2023-09-03;2200;0;20;18.5;91;
2023-09-03;2300;0;20.7;18.3;86;
2023-09-04;0000;0;21.3;18.6;84;
2023-09-04;0100;6.2;19.6;19.6;100;
2023-09-04;0200;0;20.2;19.3;94;
2023-09-04;0300;14.6;18.8;18.8;100;
2023-09-04;0400;8.2;18.7;18.7;100;
2023-09-04;0500;2.8;18.5;18.5;100;
2023-09-04;0600;2.6;18.7;18.7;100;
2023-09-04;0700;21;18.4;18.4;100;
2023-09-04;0800;.6;18.5;18.5;100;
2023-09-04;0900;1.8;18.5;18.4;100;
2023-09-04;1000;1.4;18.7;18.6;100;
2023-09-04;1100;6;18.7;18.7;100;
2023-09-04;1200;7.6;18.7;18.7;100;
2023-09-04;1300;2.4;18.8;18.8;100;
2023-09-04;1400;2.2;18.7;18.7;100;
2023-09-04;1500;1.4;18.9;18.8;100;
2023-09-04;1600;3.6;18.6;18.6;100;
2023-09-04;1700;3.2;18.1;18.1;100;
2023-09-04;1800;2.8;18.3;18.3;100;
2023-09-04;1900;.8;17.1;16.8;98;
2023-09-04;2000;.4;16.5;16.2;98;
2023-09-04;2100;4.2;15.6;15.6;100;
2023-09-04;2200;7;15.1;15.1;100;
2023-09-04;2300;8.6;14.7;14.6;100;
2023-09-05;0000;1.6;14.4;null;null;
2023-09-05;0100;.6;14.1;13.8;98;
