Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;15.2;12.2;82;
2023-09-01;0100;0;14.3;10.8;79;
2023-09-01;0200;0;13;10.3;84;
2023-09-01;0300;0;12.2;10.5;89;
2023-09-01;0400;0;11.8;10.8;93;
2023-09-01;0500;0;10.4;9.7;95;
2023-09-01;0600;0;10.2;9.6;96;
2023-09-01;0700;0;10;9.6;98;
2023-09-01;0800;0;9;8.4;96;
2023-09-01;0900;0;8.8;7.8;93;
2023-09-01;1000;0;8.7;7.3;91;
2023-09-01;1100;0;9.7;8;89;
2023-09-01;1200;1;10.1;8.7;91;
2023-09-01;1300;4;10.3;9.4;94;
2023-09-01;1400;4.4;11.2;10.8;97;
2023-09-01;1500;.2;12.2;11.7;97;
2023-09-01;1600;.6;12.8;12.6;98;
2023-09-01;1700;.4;13.4;13.1;98;
2023-09-01;1800;0;14.1;13.7;98;
2023-09-01;1900;0;14.4;14;97;
2023-09-01;2000;0;14.5;14.2;98;
2023-09-01;2100;null;null;null;null;
2023-09-01;2200;null;null;null;null;
2023-09-01;2300;null;null;null;null;
2023-09-02;0000;null;null;null;null;
2023-09-02;0100;null;null;null;null;
2023-09-02;0200;null;null;null;null;
2023-09-02;0300;null;null;null;null;
2023-09-02;0400;null;null;null;null;
2023-09-02;0500;null;null;null;null;
2023-09-02;0600;null;null;null;null;
2023-09-02;0700;null;null;null;null;
2023-09-02;0800;null;null;null;null;
2023-09-02;0900;null;null;null;null;
2023-09-02;1000;null;null;null;null;
2023-09-02;1100;null;null;null;null;
2023-09-02;1200;null;null;null;null;
2023-09-02;1300;null;null;null;null;
2023-09-02;1400;null;null;null;null;
2023-09-02;1500;0;18.7;16.7;88;
2023-09-02;1600;0;20.7;17.4;81;
2023-09-02;1700;0;21;16.9;77;
2023-09-02;1800;0;21.8;16.9;74;
2023-09-02;1900;0;21.7;17.6;78;
2023-09-02;2000;0;21.6;17.5;77;
2023-09-02;2100;0;20.5;17.3;82;
2023-09-02;2200;0;19.2;17;87;
2023-09-02;2300;0;18.8;17.1;90;
2023-09-03;0000;0;18.4;17.1;92;
2023-09-03;0100;0;17.8;16.8;94;
2023-09-03;0200;0;17.4;16.6;95;
2023-09-03;0300;0;16.4;15.8;96;
2023-09-03;0400;0;16.9;16.4;97;
2023-09-03;0500;0;16.1;15.5;96;
2023-09-03;0600;0;15.8;15.3;97;
2023-09-03;0700;0;16.8;16.3;97;
2023-09-03;0800;null;null;null;null;
2023-09-03;0900;null;null;null;null;
2023-09-03;1000;null;null;null;null;
2023-09-03;1100;null;null;null;null;
2023-09-03;1200;null;null;null;null;
2023-09-03;1300;null;null;null;null;
2023-09-03;1400;null;null;null;null;
2023-09-03;1500;null;null;null;null;
2023-09-03;1600;null;null;null;null;
2023-09-03;1700;null;null;null;null;
2023-09-03;1800;null;null;null;null;
2023-09-03;1900;null;null;null;null;
2023-09-03;2000;null;null;null;null;
2023-09-03;2100;null;null;null;null;
2023-09-03;2200;null;null;null;null;
2023-09-03;2300;null;null;null;null;
2023-09-04;0000;null;null;null;null;
2023-09-04;0100;null;null;null;null;
2023-09-04;0200;null;null;null;null;
2023-09-04;0300;null;null;null;null;
2023-09-04;0400;null;null;null;null;
2023-09-04;0500;null;null;null;null;
2023-09-04;0600;null;null;null;null;
2023-09-04;0700;null;null;null;null;
2023-09-04;0800;null;null;null;null;
2023-09-04;0900;null;null;null;null;
2023-09-04;1000;null;null;null;null;
2023-09-04;1100;null;null;null;null;
2023-09-04;1200;null;null;null;null;
2023-09-04;1300;null;null;null;null;
2023-09-04;1400;null;null;null;null;
2023-09-04;1500;null;null;null;null;
2023-09-04;1600;null;null;null;null;
2023-09-04;1700;null;null;null;null;
2023-09-04;1800;0;14.3;13.8;97;
2023-09-04;1900;null;null;null;null;
2023-09-04;2000;null;null;null;null;
2023-09-04;2100;null;null;null;null;
2023-09-04;2200;null;null;null;null;
2023-09-04;2300;null;null;null;null;
2023-09-05;0000;null;null;null;null;
2023-09-05;0100;null;null;null;null;
2023-09-05;0200;null;null;null;null;
2023-09-05;0300;null;null;null;null;
2023-09-05;0400;null;null;null;null;
2023-09-05;0500;null;null;null;null;
2023-09-05;0600;null;null;null;null;
2023-09-05;0700;null;null;null;null;
2023-09-05;0800;null;null;null;null;
2023-09-05;0900;null;null;null;null;
2023-09-05;1000;null;null;null;null;
2023-09-05;1100;0;5.4;4.3;93;
2023-09-05;1200;0;7.1;5;86;
2023-09-05;1300;0;8.4;4.9;78;
2023-09-05;1400;0;9.5;5.3;75;
2023-09-05;1500;0;11.1;6;71;
2023-09-05;1600;0;12.2;7;71;
2023-09-05;1700;0;13.5;8.4;71;
2023-09-05;1800;0;13.8;8.2;69;
2023-09-05;1900;0;13.8;7.9;67;
2023-09-05;2000;0;13.2;6.3;63;
2023-09-05;2100;0;11.6;6.6;71;
2023-09-05;2200;0;9.1;5.5;78;
2023-09-05;2300;0;8.9;5.9;82;
2023-09-06;0000;0;9;6.5;84;
2023-09-06;0100;0;9.1;5.9;81;
2023-09-06;0200;0;8.2;5.7;84;
2023-09-06;0300;0;7.5;6;90;
2023-09-06;0400;0;7.3;6;91;
2023-09-06;0500;0;7.6;6.1;90;
2023-09-06;0600;0;6.8;5.4;91;
2023-09-06;0700;0;6;4.8;92;
2023-09-06;0800;0;5.8;4.6;92;
2023-09-06;0900;0;5.6;4.2;91;
2023-09-06;1000;0;5.2;3.6;89;
2023-09-06;1100;0;6.8;5.2;89;
2023-09-06;1200;0;8.7;6.2;85;
2023-09-06;1300;0;10.4;7.6;82;
2023-09-06;1400;0;12.8;9.5;81;
2023-09-06;1500;0;14.9;11.3;79;
2023-09-06;1600;0;16.1;12.2;77;
2023-09-06;1700;0;18.3;13.9;76;
2023-09-06;1800;0;17.9;13.9;77;
2023-09-06;1900;0;18;14.2;79;
2023-09-06;2000;0;17.5;14.3;81;
2023-09-06;2100;0;17.3;13.9;80;
2023-09-06;2200;.2;16.4;13.7;84;
2023-09-06;2300;1.8;15.3;14;91;

