Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;19.2;14.4;74;
2023-09-01;0100;0;18.3;14;76;
2023-09-01;0200;0;18;13.9;77;
2023-09-01;0300;0;17.3;13.8;80;
2023-09-01;0400;0;18;13.7;76;
2023-09-01;0500;0;18.3;13.6;74;
2023-09-01;0600;0;18;13.7;76;
2023-09-01;0700;0;18.4;14.1;76;
2023-09-01;0800;0;17.8;14.3;80;
2023-09-01;0900;0;17.8;14.5;81;
2023-09-01;1000;0;17.8;14.7;82;
2023-09-01;1100;0;18.4;14.9;80;
2023-09-01;1200;1;16.6;15.8;96;
2023-09-01;1300;.4;16.8;16.2;96;
2023-09-01;1400;.4;16.9;16.4;97;
2023-09-01;1500;0;17.4;16.2;93;
2023-09-01;1600;0;17.8;16;89;
2023-09-01;1700;.2;17.7;16.5;93;
2023-09-01;1800;3.8;17.3;16.9;98;
2023-09-01;1900;5.2;16.9;16.9;100;
2023-09-01;2000;5.8;16.6;16.7;null;
2023-09-01;2100;5.6;16.3;16.5;null;
2023-09-01;2200;6.2;16.1;16.4;null;
2023-09-01;2300;3.6;16.1;16.3;null;
2023-09-02;0000;4.4;16;16.3;null;
2023-09-02;0100;2;16.1;16.2;null;
2023-09-02;0200;7;16.2;16.4;null;
2023-09-02;0300;7.4;16.3;16.5;null;
2023-09-02;0400;7.2;16.3;16.5;null;
2023-09-02;0500;9.6;16.3;16.5;null;
2023-09-02;0600;3.8;16.5;16.6;null;
2023-09-02;0700;0;17.6;16.4;93;
2023-09-02;0800;0;16.8;16.3;97;
2023-09-02;0900;0;16.4;16;97;
2023-09-02;1000;0;16.1;15.5;96;
2023-09-02;1100;0;16.2;15.4;95;
2023-09-02;1200;0;16.1;15.6;97;
2023-09-02;1300;1.4;16.3;15.9;98;
2023-09-02;1400;.6;16.7;16.6;100;
2023-09-02;1500;.4;17.8;17.8;100;
2023-09-02;1600;0;19;18.3;96;
2023-09-02;1700;0;17.9;17.5;98;
2023-09-02;1800;0;19.1;18.3;95;
