Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Fechada
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;14.1;12;87;
2023-09-01;0100;0;13.4;11.5;88;
2023-09-01;0200;0;13.3;11.5;89;
2023-09-01;0300;0;12.2;10.5;89;
2023-09-01;0400;0;11.9;10.3;90;
2023-09-01;0500;0;11.6;10.1;91;
2023-09-01;0600;0;12.5;11.1;91;
2023-09-01;0700;0;13.3;11.8;91;
2023-09-01;0800;0;12.6;11.2;91;
2023-09-01;0900;0;12.8;11.5;92;
2023-09-01;1000;0;12.8;11.5;91;
2023-09-01;1100;0;14.6;13.2;92;
2023-09-01;1200;0;17.4;15.8;90;
2023-09-01;1300;0;19.8;15.9;78;
2023-09-01;1400;0;20.4;16.1;76;
2023-09-01;1500;0;20.3;15.7;75;
2023-09-01;1600;0;20.8;15.9;74;
2023-09-01;1700;0;19.4;14.9;75;
2023-09-01;1800;0;19.4;15.5;78;
2023-09-01;1900;0;19.1;15.3;79;
2023-09-01;2000;0;18.4;15.1;81;
2023-09-01;2100;0;18;14.9;82;
2023-09-01;2200;0;17.5;14.8;84;
2023-09-01;2300;0;17.5;14.8;84;
2023-09-02;0000;0;17.4;14.8;85;
2023-09-02;0100;0;17.3;14.8;85;
2023-09-02;0200;0;17.4;14.8;85;
2023-09-02;0300;0;17.2;14.8;86;
2023-09-02;0400;0;17.1;14.7;86;
2023-09-02;0500;0;16.9;14.7;87;
2023-09-02;0600;0;16.6;14.5;88;
2023-09-02;0700;0;16.8;14.8;88;
2023-09-02;0800;0;16.7;14.7;88;
2023-09-02;0900;0;17.1;14.9;87;
2023-09-02;1000;0;17.8;15.6;87;
2023-09-02;1100;1.4;17.7;15;85;
2023-09-02;1200;.8;17.4;14.9;85;
2023-09-02;1300;.4;17.6;15.2;86;
