Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;19.9;13;64;
2023-09-01;0100;0;20.1;13;64;
2023-09-01;0200;0;19.3;12.4;64;
2023-09-01;0300;0;18.1;12.8;71;
2023-09-01;0400;0;17;12.6;75;
2023-09-01;0500;0;17.5;12.2;71;
2023-09-01;0600;0;17.8;11.9;68;
2023-09-01;0700;0;17;12.1;73;
2023-09-01;0800;0;17.3;12.4;73;
2023-09-01;0900;.2;16.3;13.1;81;
2023-09-01;1000;4;15.5;13.2;86;
2023-09-01;1100;0;16.2;12.9;81;
2023-09-01;1200;0;16.3;12.9;81;
2023-09-01;1300;0;17;13.5;79;
2023-09-01;1400;0;18.9;14.5;75;
2023-09-01;1500;0;19.8;15.8;78;
2023-09-01;1600;0;20.5;16.6;78;
2023-09-01;1700;0;20.9;17.8;82;
2023-09-01;1800;0;20.8;18;84;
2023-09-01;1900;0;19.9;18;89;
2023-09-01;2000;0;19.6;17.8;89;
2023-09-01;2100;0;19.3;17.9;91;
2023-09-01;2200;0;19.1;18.2;94;
2023-09-01;2300;0;19;18.2;95;
2023-09-02;0000;0;18.8;17.6;92;
2023-09-02;0100;0;18.3;17.5;95;
2023-09-02;0200;0;17.7;17.3;98;
2023-09-02;0300;0;16.7;16.6;99;
2023-09-02;0400;0;16.6;16.4;99;
2023-09-02;0500;0;16.3;16.2;99;
2023-09-02;0600;0;16.9;16.3;96;
2023-09-02;0700;0;16.7;16.2;97;
2023-09-02;0800;0;16.4;15.8;96;
2023-09-02;0900;0;17.3;16.4;95;
2023-09-02;1000;0;17.7;16;90;
