Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;20.8;13;61;
2023-09-01;0100;0;20.2;12.8;63;
2023-09-01;0200;0;19.4;12.6;65;
2023-09-01;0300;0;18.3;12.4;69;
2023-09-01;0400;0;17.8;12.6;72;
2023-09-01;0500;0;17.6;12.9;74;
2023-09-01;0600;0;16.9;12.4;75;
2023-09-01;0700;0;17.8;12.8;73;
2023-09-01;0800;0;17.6;12.8;74;
2023-09-01;0900;0;18.1;13.1;72;
2023-09-01;1000;0;18.5;13.4;72;
2023-09-01;1100;7;16.5;15;91;
2023-09-01;1200;2.2;16.4;15.4;94;
2023-09-01;1300;.4;18.1;16.5;90;
2023-09-01;1400;0;18.9;16.8;87;
2023-09-01;1500;0;19.2;16.4;84;
2023-09-01;1600;.4;18.6;16.7;89;
2023-09-01;1700;1.4;18.3;16.9;92;
2023-09-01;1800;4.8;18.1;17.1;94;
2023-09-01;1900;5;17.7;16.8;95;
2023-09-01;2000;6.4;17.6;16.8;95;
2023-09-01;2100;6.2;17.4;16.6;95;
2023-09-01;2200;3.8;17.1;16.4;95;
2023-09-01;2300;5.2;17.1;16.3;95;
2023-09-02;0000;4.4;17.1;16.2;94;
2023-09-02;0100;7.6;16.7;15.9;95;
2023-09-02;0200;4;17;15.9;93;
2023-09-02;0300;9;17.3;16.4;95;
2023-09-02;0400;12;17.5;16.7;95;
2023-09-02;0500;3.4;17.5;16.6;94;
2023-09-02;0600;.2;17.9;15.9;88;
2023-09-02;0700;0;17.8;16;89;
2023-09-02;0800;0;17.7;16;90;
2023-09-02;0900;0;18;15.8;87;
2023-09-02;1000;0;17.8;15.6;87;
2023-09-02;1100;.2;17.6;15.8;89;
2023-09-02;1200;1.6;17.1;16.2;94;
2023-09-02;1300;2.4;17.4;16.5;94;
2023-09-02;1400;2.4;18.2;17.4;95;
2023-09-02;1500;null;null;null;null;
2023-09-02;1600;0;21.1;18.5;85;
2023-09-02;1700;0;20.7;18.1;85;
2023-09-02;1800;0;21.4;19.1;87;
2023-09-02;1900;.2;20.5;18.8;90;
2023-09-02;2000;.2;21.2;19;87;
2023-09-02;2100;0;20.3;17.7;85;
2023-09-02;2200;0;19.7;17.8;89;
2023-09-02;2300;0;19.1;17.6;91;
2023-09-03;0000;0;18.9;17.5;91;
