Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;10.1;2.9;61;
2023-09-01;0100;0;9.9;4.2;68;
2023-09-01;0200;0;9.8;5.4;74;
2023-09-01;0300;0;9.8;4.7;71;
2023-09-01;0400;0;10.4;5.9;74;
2023-09-01;0500;0;10.2;7.4;82;
2023-09-01;0600;0;10.5;9;90;
2023-09-01;0700;0;10.5;10.3;99;
2023-09-01;0800;0;10.5;10.5;100;
2023-09-01;0900;0;11;null;null;
2023-09-01;1000;0;11.3;null;null;
2023-09-01;1100;0;11.9;null;null;
2023-09-01;1200;0;12.9;12.9;100;
2023-09-01;1300;0;15.2;13.8;92;
2023-09-01;1400;0;17.4;13.8;80;
2023-09-01;1500;0;16.9;14.1;84;
2023-09-01;1600;0;16.7;13.5;81;
2023-09-01;1700;0;16.9;13.6;81;
2023-09-01;1800;2.6;14.8;null;null;
2023-09-01;1900;4.4;14.8;null;null;
2023-09-01;2000;.2;14.9;null;null;
2023-09-01;2100;.2;14.6;null;null;
2023-09-01;2200;0;15.1;null;null;
2023-09-01;2300;0;15.1;null;null;
2023-09-02;0000;0;16.2;15.9;98;
2023-09-02;0100;0;16.5;15.2;92;
2023-09-02;0200;0;16.7;15.1;91;
2023-09-02;0300;0;16.2;15.5;95;
2023-09-02;0400;0;16.1;15.6;97;
2023-09-02;0500;0;15.6;15.6;99;
2023-09-02;0600;0;15.2;null;null;
2023-09-02;0700;0;15.1;null;null;
2023-09-02;0800;0;15.2;null;null;
2023-09-02;0900;0;14.9;null;null;
2023-09-02;1000;0;15.4;null;null;
2023-09-02;1100;0;15.8;15.8;100;
2023-09-02;1200;0;16.6;16.5;100;
2023-09-02;1300;0;18.4;16.4;88;
2023-09-02;1400;0;19.1;16.7;86;
2023-09-02;1500;0;20.5;16.4;78;
2023-09-02;1600;0;21;15.5;71;
2023-09-02;1700;.2;21.3;15.6;70;
2023-09-02;1800;0;21.7;15.9;69;
2023-09-02;1900;0;21.1;17.3;79;
2023-09-02;2000;0;20.2;17.7;86;
2023-09-02;2100;0;19.6;17.6;88;
2023-09-02;2200;0;18.7;17.8;95;
2023-09-02;2300;0;17.7;17.7;100;
2023-09-03;0000;0;17;null;null;
2023-09-03;0100;0;16.8;null;null;
2023-09-03;0200;0;16.3;null;null;
2023-09-03;0300;0;15.8;null;null;
2023-09-03;0400;0;15.7;null;null;
2023-09-03;0500;0;14.8;null;null;
2023-09-03;0600;0;14.5;null;null;
2023-09-03;0700;0;14.2;null;null;
2023-09-03;0800;0;13.7;null;null;
2023-09-03;0900;0;13.3;null;null;
2023-09-03;1000;0;13.3;null;null;
2023-09-03;1100;0;13.5;null;null;
2023-09-03;1200;0;13.5;null;null;
2023-09-03;1300;.4;14;null;null;
2023-09-03;1400;0;15;null;null;
2023-09-03;1500;0;15.8;null;null;
2023-09-03;1600;1;15.7;null;null;
2023-09-03;1700;.4;16.2;null;null;
2023-09-03;1800;.6;16;null;null;
2023-09-03;1900;2.6;15.9;null;null;
2023-09-03;2000;.2;15.8;null;null;
2023-09-03;2100;.2;16.2;null;null;
2023-09-03;2200;.2;16.3;null;null;
2023-09-03;2300;.4;16.3;null;null;
2023-09-04;0000;.2;16.1;null;null;
2023-09-04;0100;0;15.9;null;null;
2023-09-04;0200;0;15.7;null;null;
2023-09-04;0300;.6;15.5;null;null;
2023-09-04;0400;1.6;15;null;null;
2023-09-04;0500;.6;15.4;null;null;
2023-09-04;0600;1;15.8;null;null;
2023-09-04;0700;.4;15.8;null;null;
2023-09-04;0800;.4;16;null;null;
2023-09-04;0900;1.4;15.7;null;null;
2023-09-04;1000;2.2;14.7;null;null;
2023-09-04;1100;.8;15.2;null;null;
2023-09-04;1200;4;15.6;null;null;
2023-09-04;1300;18.2;14.6;null;null;
2023-09-04;1400;13.2;14.7;null;null;
2023-09-04;1500;.6;13.9;null;null;
2023-09-04;1600;1.4;13.1;null;null;
2023-09-04;1700;2;13.2;null;null;
2023-09-04;1800;1;13;null;null;
2023-09-04;1900;2.2;12.4;null;null;
2023-09-04;2000;1;12;null;null;
2023-09-04;2100;.4;11.9;null;null;
2023-09-04;2200;.8;11.3;null;null;
2023-09-04;2300;2.8;10.3;null;null;
2023-09-05;0000;2.8;9.8;null;null;
2023-09-05;0100;2.6;9.3;null;null;
2023-09-05;0200;1;8.3;null;null;
2023-09-05;0300;.2;7.1;null;null;
2023-09-05;0400;0;6.6;null;null;
2023-09-05;0500;0;6.5;null;null;
2023-09-05;0600;0;6;null;null;
2023-09-05;0700;0;5.1;null;null;
2023-09-05;0800;0;4.7;null;null;
2023-09-05;0900;0;4.1;null;null;
2023-09-05;1000;0;3.9;null;null;
2023-09-05;1100;0;4.2;null;null;
2023-09-05;1200;0;5.1;null;null;
2023-09-05;1300;0;6.3;null;null;
2023-09-05;1400;0;9.1;8;93;
2023-09-05;1500;0;10.5;7.8;83;
2023-09-05;1600;0;10.9;5.6;70;
2023-09-05;1700;0;11.6;5.8;68;
2023-09-05;1800;0;11.2;4.8;65;
2023-09-05;1900;0;10.8;4.8;67;
2023-09-05;2000;0;9.9;5.2;72;
2023-09-05;2100;0;8.3;5.9;85;
2023-09-05;2200;0;7.1;6;93;
2023-09-05;2300;0;6.3;6.2;99;
2023-09-06;0000;0;5.8;null;null;
2023-09-06;0100;0;5.3;null;null;
2023-09-06;0200;0;4.8;null;null;
2023-09-06;0300;0;4.4;null;null;
2023-09-06;0400;0;4.3;null;null;
2023-09-06;0500;0;4.2;null;null;
2023-09-06;0600;.2;4.4;null;null;
2023-09-06;0700;0;4.8;null;null;
2023-09-06;0800;0;4.9;null;null;
2023-09-06;0900;0;4.5;null;null;
2023-09-06;1000;0;4.7;null;null;
2023-09-06;1100;0;6.7;6.7;100;
2023-09-06;1200;0;8.8;8.2;96;
2023-09-06;1300;0;10.8;8;83;
2023-09-06;1400;0;13.6;8.6;72;
2023-09-06;1500;0;14.5;9.5;72;
2023-09-06;1600;0;16;9.7;66;
2023-09-06;1700;0;14.7;9.6;71;
2023-09-06;1800;0;14;11.1;83;
2023-09-06;1900;0;13.5;11.4;87;
2023-09-06;2000;0;13.4;12.1;92;
2023-09-06;2100;0;13.3;12.2;93;
2023-09-06;2200;0;13.2;11.9;92;
2023-09-06;2300;0;12.9;12;94;

