Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;18.7;11.3;62;
2023-09-01;0100;0;17.8;10.6;63;
2023-09-01;0200;0;17;10.6;66;
2023-09-01;0300;0;17;10.9;67;
2023-09-01;0400;0;17.3;11.1;67;
2023-09-01;0500;0;16.1;12.5;79;
2023-09-01;0600;0;15.2;12.6;85;
2023-09-01;0700;0;14.7;11.7;82;
2023-09-01;0800;0;14.5;11.1;80;
2023-09-01;0900;0;14.3;10.9;80;
2023-09-01;1000;0;14.2;10.9;81;
2023-09-01;1100;0;13.9;11.4;85;
2023-09-01;1200;0;16;12.6;80;
2023-09-01;1300;0;16.2;13.1;82;
2023-09-01;1400;0;17.8;14.4;81;
2023-09-01;1500;0;19.2;15.1;77;
2023-09-01;1600;0;19.1;15.8;81;
2023-09-01;1700;0;20.2;17.6;85;
2023-09-01;1800;0;20.3;17.8;86;
2023-09-01;1900;0;20;17.8;87;
2023-09-01;2000;0;19.8;17.7;88;
2023-09-01;2100;0;18.5;16.8;90;
2023-09-01;2200;0;18.2;16.8;92;
2023-09-01;2300;0;17.7;16.4;92;
2023-09-02;0000;0;17.6;16.3;92;
2023-09-02;0100;0;17;15.8;93;
2023-09-02;0200;0;17.2;16.1;94;
2023-09-02;0300;0;17.2;16.3;94;
2023-09-02;0400;0;17;16.1;94;
2023-09-02;0500;0;16.9;15.8;93;
2023-09-02;0600;0;16.1;15.2;94;
2023-09-02;0700;0;15.7;15;95;
2023-09-02;0800;0;15.7;15;95;
2023-09-02;0900;0;15.5;14.7;95;
2023-09-02;1000;0;15.9;14.9;94;
2023-09-02;1100;0;17.3;15.8;91;
2023-09-02;1200;0;17.5;15.9;90;
2023-09-02;1300;0;18.8;16.2;85;
2023-09-02;1400;0;18.8;16.4;86;
2023-09-02;1500;0;19.7;16.8;83;
2023-09-02;1600;0;19.4;17;86;
2023-09-02;1700;0;19.7;17.4;87;
2023-09-02;1800;0;20.4;17.4;83;
2023-09-02;1900;0;20.7;17.8;83;
2023-09-02;2000;0;21.3;17.8;81;
2023-09-02;2100;0;20.4;17.5;83;
2023-09-02;2200;0;19.2;17.3;88;
2023-09-02;2300;0;19.1;17.4;90;
2023-09-03;0000;0;19.1;17.3;89;
2023-09-03;0100;0;18.6;17.1;91;
2023-09-03;0200;0;18.4;17;92;
2023-09-03;0300;0;18;16.9;93;
2023-09-03;0400;0;18.2;17;93;
2023-09-03;0500;0;18.1;17;93;
2023-09-03;0600;0;18.1;17;93;
2023-09-03;0700;0;17.8;16.8;94;
2023-09-03;0800;.2;18.1;17.1;93;
2023-09-03;0900;5.4;17.6;16.8;95;
2023-09-03;1000;7.8;17.9;17.3;96;
2023-09-03;1100;3.6;17.8;17.2;96;
2023-09-03;1200;14.4;18.4;17.8;96;
2023-09-03;1300;12.4;18.5;18;97;
2023-09-03;1400;1.2;18.9;18.3;96;
2023-09-03;1500;0;19.7;18.5;93;
2023-09-03;1600;0;21;18.2;84;
2023-09-03;1700;0;20.6;17.8;84;
2023-09-03;1800;0;20.8;17.3;80;
2023-09-03;1900;0;20.8;17.4;81;
2023-09-03;2000;0;20.8;17.4;81;
2023-09-03;2100;0;20.6;17.3;82;
2023-09-03;2200;0;20.7;17.1;80;
2023-09-03;2300;0;20.7;17.1;80;
2023-09-04;0000;0;20.8;17.3;81;
2023-09-04;0100;0;20.6;17.5;83;
2023-09-04;0200;0;19.3;17.7;90;
2023-09-04;0300;1.6;18.8;17.8;94;
2023-09-04;0400;11;18.8;18.2;96;
2023-09-04;0500;11;18.7;18.2;97;
2023-09-04;0600;1.4;18.9;18.4;97;
2023-09-04;0700;.8;18.8;18.3;96;
2023-09-04;0800;3.2;18.6;18;97;
2023-09-04;0900;1;18.3;17.7;97;
2023-09-04;1000;3;18;17.4;97;
2023-09-04;1100;3.8;17.2;16.7;97;
2023-09-04;1200;1.8;17.4;16.8;97;
2023-09-04;1300;1;17.3;16.6;96;
2023-09-04;1400;4.6;16.1;15.5;96;
2023-09-04;1500;4.2;15.5;14.8;96;
2023-09-04;1600;5.8;15.4;14.8;96;
2023-09-04;1700;1.2;15.5;14.8;96;
2023-09-04;1800;0;16.2;14.6;91;
2023-09-04;1900;.6;16;14.8;93;
2023-09-04;2000;2.4;15.3;14.4;94;
2023-09-04;2100;1.6;14.4;13.4;94;
2023-09-04;2200;.6;14.3;13.4;95;
2023-09-04;2300;.8;13.9;13;94;
2023-09-05;0000;2;13.7;13.1;96;
2023-09-05;0100;.2;13.7;12.6;93;
