Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;12.1;7.3;73;
2023-09-01;0100;0;12.1;4.6;60;
2023-09-01;0200;0;11.8;3.6;57;
2023-09-01;0300;0;11.2;2;53;
2023-09-01;0400;0;11.1;3.4;59;
2023-09-01;0500;0;11.2;4.2;62;
2023-09-01;0600;0;10.3;5.1;70;
2023-09-01;0700;0;10;6.8;81;
2023-09-01;0800;0;8.7;6.5;86;
2023-09-01;0900;0;11.1;9.1;87;
2023-09-01;1000;0;10.6;8.8;88;
2023-09-01;1100;0;11.6;10.3;92;
2023-09-01;1200;0;13;11.2;89;
2023-09-01;1300;0;14.7;11.9;83;
2023-09-01;1400;0;16.4;12.4;77;
2023-09-01;1500;2.2;14.4;13;91;
2023-09-01;1600;8.6;14.6;13.2;91;
2023-09-01;1700;2.4;14.7;13.7;94;
2023-09-01;1800;4.8;15.1;14.4;95;
2023-09-01;1900;1.8;15.8;14.8;94;
2023-09-01;2000;.4;15.6;14.2;92;
2023-09-01;2100;.4;16;14.3;90;
2023-09-01;2200;0;17.2;14.2;83;
2023-09-01;2300;0;18.4;14.4;77;
2023-09-02;0000;0;17.1;14.4;84;
2023-09-02;0100;0;16.9;14.4;85;
2023-09-02;0200;0;16.5;14.3;86;
2023-09-02;0300;0;17;14.5;85;
2023-09-02;0400;0;16.2;14.4;89;
2023-09-02;0500;0;16.7;14.7;88;
2023-09-02;0600;0;16.5;14.6;89;
2023-09-02;0700;0;16.2;14.4;89;
2023-09-02;0800;0;15.8;14.3;91;
