Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;18.3;11.4;64;
2023-09-01;0100;0;18.7;11.4;63;
2023-09-01;0200;0;17.1;11.2;69;
2023-09-01;0300;0;16.4;11.1;71;
2023-09-01;0400;0;14.9;10.9;77;
2023-09-01;0500;0;15.3;11.4;77;
2023-09-01;0600;0;16.3;11.1;72;
2023-09-01;0700;0;15.9;11.2;73;
2023-09-01;0800;0;13.9;11.2;84;
2023-09-01;0900;0;12.8;10.7;87;
2023-09-01;1000;0;12.8;10.8;88;
2023-09-01;1100;0;13.7;11.5;86;
2023-09-01;1200;0;14.7;11.7;82;
2023-09-01;1300;0;16.4;12;75;
2023-09-01;1400;0;17.9;13.2;74;
2023-09-01;1500;0;18;13.3;74;
2023-09-01;1600;0;18.3;13.6;74;
2023-09-01;1700;0;18.3;12.5;69;
2023-09-01;1800;0;17.9;12.7;72;
2023-09-01;1900;0;16.9;13;78;
2023-09-01;2000;.8;15.6;13.4;87;
2023-09-01;2100;1.2;15.3;13.9;91;
2023-09-01;2200;1;15;13.6;91;
2023-09-01;2300;2.8;14.8;13.6;93;
2023-09-02;0000;3.4;14.4;13.5;94;
2023-09-02;0100;.8;14.4;13.6;94;
2023-09-02;0200;0;14.3;13.6;95;
2023-09-02;0300;1;14.2;13.4;95;
2023-09-02;0400;.2;14.1;13.3;95;
2023-09-02;0500;3.6;13.8;12.9;94;
2023-09-02;0600;6.2;13.5;12.7;95;
2023-09-02;0700;6.8;13.6;12.9;96;
2023-09-02;0800;3.6;13.2;12.6;96;
2023-09-02;0900;1.6;13.3;12.6;96;
2023-09-02;1000;0;13.3;12.6;95;
2023-09-02;1100;0;13.4;12.7;96;
2023-09-02;1200;0;13.7;12.9;95;
2023-09-02;1300;0;14.6;13.7;95;
2023-09-02;1400;0;16.1;14.4;90;
2023-09-02;1500;0;16.9;14.8;88;
2023-09-02;1600;0;17.7;15;84;
2023-09-02;1700;0;17.3;15.1;87;
2023-09-02;1800;0;17.2;15.1;87;
2023-09-02;1900;0;17;15.3;90;
2023-09-02;2000;0;17.8;15.5;87;
2023-09-02;2100;0;17.4;15.4;88;
2023-09-02;2200;0;16.7;15.2;91;
2023-09-02;2300;0;16.2;15;93;
2023-09-03;0000;0;15.8;14.8;94;
