Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;21.7;12.9;57;
2023-09-01;0100;0;20.5;12.8;61;
2023-09-01;0200;0;19.4;12.7;65;
2023-09-01;0300;0;18.8;12.6;67;
2023-09-01;0400;0;18.6;12.1;66;
2023-09-01;0500;0;18.6;11.5;64;
2023-09-01;0600;0;18.5;11.4;63;
2023-09-01;0700;0;18.1;11.4;65;
2023-09-01;0800;0;18.2;11.6;65;
2023-09-01;0900;0;18.5;11.8;65;
2023-09-01;1000;0;17.6;12.9;74;
2023-09-01;1100;0;17.4;13.4;78;
2023-09-01;1200;0;19;15.4;80;
2023-09-01;1300;0;19.3;16;81;
2023-09-01;1400;3.8;17.9;16.8;94;
2023-09-01;1500;2.2;17.8;17;95;
2023-09-01;1600;2.4;18.5;17.9;97;
2023-09-01;1700;1;19.4;18.4;94;
2023-09-01;1800;2;19.1;18.3;95;
2023-09-01;1900;2.4;19;18.2;95;
2023-09-01;2000;2.8;19.1;18.3;95;
2023-09-01;2100;3.6;18.7;17.9;95;
2023-09-01;2200;4.4;18.3;17.4;95;
2023-09-01;2300;3.4;18;17.1;95;
2023-09-02;0000;2.4;18.2;17.2;94;
2023-09-02;0100;3;18;17;94;
2023-09-02;0200;.2;18.2;17;93;
2023-09-02;0300;0;18.5;17;91;
2023-09-02;0400;0;19.5;17.2;87;
2023-09-02;0500;0;19.1;17.2;89;
2023-09-02;0600;0;18.7;17;90;
2023-09-02;0700;0;19.2;17.2;88;
2023-09-02;0800;0;19.3;17;86;
2023-09-02;0900;0;19;17;88;
2023-09-02;1000;0;19;16.9;88;
2023-09-02;1100;0;18.8;17;90;
2023-09-02;1200;0;18.4;17;92;
2023-09-02;1300;.2;18.5;17.7;95;
2023-09-02;1400;.8;18.6;17.9;96;
2023-09-02;1500;1.2;18.3;17.8;96;
2023-09-02;1600;0;18.3;17.7;97;
2023-09-02;1700;1.2;18.4;17.9;97;
2023-09-02;1800;20.8;18.6;18.2;98;
2023-09-02;1900;0;20.3;19.9;98;
2023-09-02;2000;0;21.8;19.5;87;
2023-09-02;2100;0;21.1;18.9;87;
2023-09-02;2200;0;20;18.9;93;
2023-09-02;2300;0;19;18.3;96;
2023-09-03;0000;0;18.8;18.1;96;
2023-09-03;0100;0;18.9;18.2;96;
2023-09-03;0200;0;19.3;18.3;94;
2023-09-03;0300;0;19.1;18;93;
2023-09-03;0400;2.8;18.8;18.2;96;
2023-09-03;0500;15;18.3;17.8;97;
2023-09-03;0600;1.2;18.8;18.3;97;
2023-09-03;0700;.2;18.8;17.9;94;
2023-09-03;0800;1.2;19.3;18.7;96;
2023-09-03;0900;.2;19.1;18.6;97;
2023-09-03;1000;0;19.1;18.5;97;
2023-09-03;1100;1.4;19.3;18.7;96;
2023-09-03;1200;.2;20.4;19.4;94;
2023-09-03;1300;0;22.2;20;88;
2023-09-03;1400;0;22.4;19.8;85;
2023-09-03;1500;0;22.8;20.4;86;
2023-09-03;1600;0;23.3;20.5;84;
2023-09-03;1700;0;23.6;20.6;83;
2023-09-03;1800;0;23;19.9;83;
2023-09-03;1900;0;22.5;19.7;84;
2023-09-03;2000;0;22.3;19.4;84;
2023-09-03;2100;0;21.8;19.3;86;
2023-09-03;2200;0;21.3;19.2;88;
2023-09-03;2300;0;21.3;19.3;89;
2023-09-04;0000;0;21.1;19.4;90;
2023-09-04;0100;0;21.2;20.2;94;
2023-09-04;0200;1;21;20.4;96;
2023-09-04;0300;.2;21;20.5;97;
2023-09-04;0400;.4;20.9;20.4;97;
2023-09-04;0500;3;20.3;19.8;97;
2023-09-04;0600;6.4;20.2;19.8;97;
2023-09-04;0700;.6;20.1;19.7;97;
2023-09-04;0800;1.2;19.7;19.2;97;
2023-09-04;0900;3;19.5;19.1;98;
2023-09-04;1000;13;18.5;18.1;98;
2023-09-04;1100;.8;18.7;18.3;98;
2023-09-04;1200;1.8;18.4;17.9;97;
2023-09-04;1300;1.4;17.9;17.4;97;
2023-09-04;1400;5.8;17.4;16.9;97;
2023-09-04;1500;6.6;16.4;16.1;98;
2023-09-04;1600;.8;16;15.6;97;
2023-09-04;1700;2;16.2;15.8;97;
2023-09-04;1800;.6;16.2;15.4;95;
2023-09-04;1900;2.6;16.4;15.6;95;
2023-09-04;2000;3.2;16.5;15.9;96;
2023-09-04;2100;.4;15.9;15.3;96;
2023-09-04;2200;.2;15.3;14.8;96;
2023-09-04;2300;.2;15;14.4;96;
2023-09-05;0000;0;14.8;13.9;95;
2023-09-05;0100;0;14.7;13.5;92;
2023-09-05;0200;0;14.5;13;90;
2023-09-05;0300;0;14.2;13.1;93;
2023-09-05;0400;0;14.3;13.1;93;
2023-09-05;0500;0;13.5;12.5;94;
2023-09-05;0600;0;12.7;10.5;86;
2023-09-05;0700;0;12.4;10.5;88;
2023-09-05;0800;0;11.9;10.5;91;
2023-09-05;0900;0;11.6;9.7;88;
2023-09-05;1000;0;11.4;10;91;
2023-09-05;1100;0;11.7;10.1;89;
2023-09-05;1200;0;12;10.1;88;
2023-09-05;1300;0;12.2;9.7;85;
2023-09-05;1400;0;13.5;10.4;82;
2023-09-05;1500;0;14.1;11.1;82;
2023-09-05;1600;0;14.7;11.5;81;
2023-09-05;1700;0;15.6;12.1;80;
2023-09-05;1800;0;16.9;12.4;75;
2023-09-05;1900;0;18.1;13;72;
2023-09-05;2000;0;18.1;13.1;73;
2023-09-05;2100;0;17.7;13.5;77;
2023-09-05;2200;0;16.2;12.9;81;
2023-09-05;2300;0;14.8;12.2;84;
2023-09-06;0000;0;14.2;11.5;84;
2023-09-06;0100;0;13.2;10.6;84;
2023-09-06;0200;0;12.3;10.3;88;
2023-09-06;0300;0;11.9;10;88;
2023-09-06;0400;0;11.7;9.3;85;
2023-09-06;0500;0;11.3;9;86;
2023-09-06;0600;0;11.2;8.9;86;
2023-09-06;0700;0;10.8;8.7;87;
2023-09-06;0800;0;10.7;8.7;88;
2023-09-06;0900;0;10.3;8.7;90;
2023-09-06;1000;0;10.4;8.7;89;
2023-09-06;1100;0;11.7;9.2;85;
2023-09-06;1200;0;13.2;9.9;80;
2023-09-06;1300;0;15.3;11.1;76;
2023-09-06;1400;0;17.4;12.7;74;
2023-09-06;1500;0;18.5;13.5;73;
2023-09-06;1600;0;20.5;15.3;72;
2023-09-06;1700;0;21.9;16.1;69;
2023-09-06;1800;0;22.1;16.7;71;
2023-09-06;1900;0;22.7;17.6;73;
2023-09-06;2000;0;22.2;18;77;
2023-09-06;2100;0;22.3;18.1;77;
2023-09-06;2200;0;22.1;18;78;
2023-09-06;2300;0;21.8;18.2;80;

