Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.3686111
Longitude: -56.43722221
Altitude: 113.05
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;17.5;12.3;72;
2023-09-01;0100;0;16.6;12.3;76;
2023-09-01;0200;0;15.5;12.2;81;
2023-09-01;0300;0;15.3;12;81;
2023-09-01;0400;0;13.5;11.5;88;
2023-09-01;0500;0;13.1;11.2;88;
2023-09-01;0600;0;12.8;11.2;90;
2023-09-01;0700;0;13.5;12;91;
2023-09-01;0800;0;14.6;12;85;
2023-09-01;0900;0;15.1;11.3;78;
2023-09-01;1000;.2;14.1;11;81;
2023-09-01;1100;0;14.9;10.7;76;
2023-09-01;1200;1.4;14.6;12;84;
2023-09-01;1300;0;13.8;11.5;86;
2023-09-01;1400;0;16;12.9;82;
2023-09-01;1500;0;15.9;13.2;84;
2023-09-01;1600;.2;15.6;13.6;88;
2023-09-01;1700;0;15.4;13.4;88;
2023-09-01;1800;0;16.4;14.3;88;
2023-09-01;1900;0;18.7;16.4;87;
2023-09-01;2000;0;18.9;16.5;86;
2023-09-01;2100;0;18.2;15.9;87;
2023-09-01;2200;0;17.5;15.5;88;
2023-09-01;2300;0;17.6;15.6;88;
2023-09-02;0000;0;16.4;15;92;
2023-09-02;0100;0;16.3;15.2;93;
2023-09-02;0200;0;15.8;14.7;94;
2023-09-02;0300;0;15.2;14.3;95;
2023-09-02;0400;0;14.9;14.3;96;
2023-09-02;0500;0;15.2;14.5;96;
2023-09-02;0600;0;15.3;14.6;96;
2023-09-02;0700;0;15.2;14.5;96;
2023-09-02;0800;0;14.7;14.1;96;
2023-09-02;0900;0;15.7;15.1;96;
2023-09-02;1000;0;14.8;14.1;95;
2023-09-02;1100;0;16;15;94;
2023-09-02;1200;0;17.4;15.6;89;
2023-09-02;1300;0;18.4;16;86;
2023-09-02;1400;0;21.4;17;76;
2023-09-02;1500;0;23.6;17.6;69;
2023-09-02;1600;0;22.6;17.5;73;
2023-09-02;1700;0;22.9;17.2;70;
2023-09-02;1800;0;23.6;18;71;
2023-09-02;1900;0;23.4;17.2;68;
2023-09-02;2000;0;22.7;18;75;
2023-09-02;2100;0;22.1;18;77;
2023-09-02;2200;0;21.2;18;82;
2023-09-02;2300;0;20.9;17.7;82;
2023-09-03;0000;0;20.4;17.6;84;
2023-09-03;0100;0;19.6;17.2;86;
2023-09-03;0200;0;18.9;16.9;89;
2023-09-03;0300;0;18.8;17.2;91;
2023-09-03;0400;0;18.4;17.1;92;
2023-09-03;0500;0;18.8;16.8;88;
2023-09-03;0600;0;18.7;16.7;88;
2023-09-03;0700;0;18.5;16.8;90;
2023-09-03;0800;0;18.1;16.4;90;
2023-09-03;0900;0;18.3;16.5;89;
2023-09-03;1000;12.2;17.8;17.1;96;
2023-09-03;1100;0;17.9;16.9;94;
2023-09-03;1200;8;17.8;17.1;95;
2023-09-03;1300;3;18.1;17.3;95;
2023-09-03;1400;4.8;18.2;17.4;95;
2023-09-03;1500;5.8;18.6;17.9;96;
2023-09-03;1600;.4;19.5;18.7;95;
2023-09-03;1700;0;19.6;18.2;92;
2023-09-03;1800;1.8;19.6;18.2;91;
2023-09-03;1900;0;19.9;17.3;85;
2023-09-03;2000;.4;20.3;17;82;
2023-09-03;2100;0;19.9;16.8;82;
2023-09-03;2200;0;20;16.7;81;
2023-09-03;2300;0;19.6;17;85;
2023-09-04;0000;0;19;17.2;89;
2023-09-04;0100;0;18.6;17.1;91;
2023-09-04;0200;0;18.6;17.2;92;
2023-09-04;0300;0;18.6;17.1;91;
2023-09-04;0400;0;18.9;17.2;90;
2023-09-04;0500;0;18.4;16.7;90;
2023-09-04;0600;0;17.7;16.1;91;
2023-09-04;0700;1.2;16.5;15.6;94;
2023-09-04;0800;9;16;15.3;96;
2023-09-04;0900;9;16;15.4;96;
2023-09-04;1000;2.4;14.7;13.6;93;
2023-09-04;1100;1.4;14.2;13;92;
2023-09-04;1200;3;14.1;13;93;
2023-09-04;1300;.2;15.4;13.7;89;
2023-09-04;1400;0;16.2;14;87;
2023-09-04;1500;.6;16.1;14.3;89;
2023-09-04;1600;2.2;15.6;14.3;92;
2023-09-04;1700;.4;13.9;12.5;91;
2023-09-04;1800;0;14.4;12.4;87;
2023-09-04;1900;0;14.9;12.5;85;
2023-09-04;2000;0;15;12;82;
2023-09-04;2100;0;14.7;11.8;83;
2023-09-04;2200;.6;13.4;11.8;90;
2023-09-04;2300;1.8;12.5;10.9;90;
2023-09-05;0000;0;12.3;9.8;85;
2023-09-05;0100;0;11.9;8.6;80;
2023-09-05;0200;0;10.8;8.2;84;
2023-09-05;0300;0;10.2;7.9;86;
2023-09-05;0400;0;9.2;7.3;88;
2023-09-05;0500;0;8.3;6.6;89;
2023-09-05;0600;0;7.5;6.1;91;
2023-09-05;0700;0;7;5.7;92;
2023-09-05;0800;0;6.1;5.1;93;
2023-09-05;0900;.2;5.7;4.7;93;
2023-09-05;1000;0;5.2;4.4;94;
2023-09-05;1100;0;7.3;5.5;88;
2023-09-05;1200;0;8.7;4.5;75;
2023-09-05;1300;0;10.6;4.5;66;
2023-09-05;1400;0;12.4;5.4;62;
2023-09-05;1500;0;13.4;2.7;49;
