Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;18.5;13.4;72;
2023-09-01;0100;0;17.6;13.2;75;
2023-09-01;0200;0;16.9;13.7;81;
2023-09-01;0300;0;15.9;12.8;82;
2023-09-01;0400;0;14.7;11.7;82;
2023-09-01;0500;0;13.4;10.1;80;
2023-09-01;0600;0;12.6;8.6;77;
2023-09-01;0700;0;12.1;9;81;
2023-09-01;0800;0;12.9;9.2;78;
2023-09-01;0900;0;12.9;9.6;80;
2023-09-01;1000;0;13.2;9.8;80;
2023-09-01;1100;0;13.7;10.7;82;
2023-09-01;1200;0;14.5;11.5;82;
2023-09-01;1300;0;14.8;12.8;88;
2023-09-01;1400;.2;15.2;14.1;93;
2023-09-01;1500;0;16.6;14.5;87;
2023-09-01;1600;0;17.9;15.5;86;
2023-09-01;1700;0;18.8;15.7;82;
2023-09-01;1800;0;19.3;16.4;83;
2023-09-01;1900;0;19;16;83;
2023-09-01;2000;0;18.8;16;84;
2023-09-01;2100;0;19.2;16;82;
2023-09-01;2200;0;19;16.1;83;
2023-09-01;2300;0;18.6;16;85;
2023-09-02;0000;0;18.7;15.5;82;
2023-09-02;0100;0;18.5;15.6;83;
2023-09-02;0200;0;18.2;15.9;87;
2023-09-02;0300;0;18.4;16;86;
2023-09-02;0400;0;18.1;15.9;87;
2023-09-02;0500;0;17.6;15.9;89;
2023-09-02;0600;0;17.7;15.9;89;
2023-09-02;0700;0;17.8;15.8;88;
2023-09-02;0800;0;17.6;15.8;89;
2023-09-02;0900;0;17.3;15.8;90;
2023-09-02;1000;0;16.8;15.7;93;
2023-09-02;1100;0;16.6;15.6;94;
2023-09-02;1200;0;17.6;16.2;92;
2023-09-02;1300;0;17.8;16.6;93;
2023-09-02;1400;0;19.6;16.8;84;
2023-09-02;1500;0;20.7;17;79;
2023-09-02;1600;0;21.6;17.3;77;
2023-09-02;1700;0;21.8;17.1;75;
2023-09-02;1800;0;21.7;17.5;77;
2023-09-02;1900;0;21.5;17.7;79;
2023-09-02;2000;0;21.1;17.8;82;
2023-09-02;2100;0;20.8;18.1;85;
2023-09-02;2200;0;19.6;17.7;89;
2023-09-02;2300;0;18.7;17.2;91;
2023-09-03;0000;0;18.7;16.9;90;
2023-09-03;0100;0;18.3;16.7;90;
2023-09-03;0200;0;18.5;16.5;88;
2023-09-03;0300;0;18.2;16.3;89;
2023-09-03;0400;0;17.7;16.3;91;
2023-09-03;0500;0;17.9;16.4;91;
2023-09-03;0600;0;17.8;16.7;93;
2023-09-03;0700;0;18.1;16.7;92;
2023-09-03;0800;3.6;17.9;17.5;97;
2023-09-03;0900;0;18.2;17.7;97;
2023-09-03;1000;0;18.7;17.6;93;
2023-09-03;1100;3;18.3;17.7;97;
2023-09-03;1200;4.8;18.3;17.9;98;
2023-09-03;1300;2.4;18.3;18;98;
2023-09-03;1400;2.4;18.3;18.1;98;
2023-09-03;1500;5.4;18.4;18.2;99;
2023-09-03;1600;3.6;18.7;18.6;99;
2023-09-03;1700;1.6;18.9;18.7;98;
2023-09-03;1800;6;18.9;18.7;98;
2023-09-03;1900;.2;19.1;18.7;98;
2023-09-03;2000;0;19.3;18.8;97;
2023-09-03;2100;0;19.2;18.6;96;
2023-09-03;2200;0;19.2;18.6;96;
2023-09-03;2300;0;19;18.4;96;
2023-09-04;0000;0;19;18.3;96;
2023-09-04;0100;0;18.9;18.2;95;
2023-09-04;0200;0;19.6;17.8;90;
2023-09-04;0300;1;19.3;18.1;93;
2023-09-04;0400;5.2;19;18.4;96;
2023-09-04;0500;7.2;18.9;18.6;98;
2023-09-04;0600;7.8;18.5;18.3;98;
2023-09-04;0700;3.2;18.4;18.2;99;
2023-09-04;0800;1.2;18.7;18.4;98;
2023-09-04;0900;.6;18.7;18.4;98;
2023-09-04;1000;.6;18.6;18.4;98;
2023-09-04;1100;3.8;18.4;18.2;99;
2023-09-04;1200;5.2;18.7;18.5;99;
2023-09-04;1300;.6;17.8;17.6;99;
2023-09-04;1400;1;17.1;16.8;98;
2023-09-04;1500;1;17;16.6;98;
2023-09-04;1600;2;16.5;16.1;97;
2023-09-04;1700;2;16.1;15.6;97;
2023-09-04;1800;1.4;16;15.6;97;
2023-09-04;1900;.2;15.7;15.1;97;
2023-09-04;2000;0;15.4;14;91;
2023-09-04;2100;2.2;14.5;13.9;96;
2023-09-04;2200;2;14.1;13.4;96;
2023-09-04;2300;2.4;13.4;12.8;96;
2023-09-05;0000;.8;13;12.4;96;
2023-09-05;0100;2.2;12.1;11.5;96;
2023-09-05;0200;.4;11.4;10.8;96;
2023-09-05;0300;.2;11;10.1;94;
2023-09-05;0400;null;null;null;null;
2023-09-05;0500;null;null;null;null;
2023-09-05;0600;null;null;null;null;
2023-09-05;0700;null;null;null;null;
2023-09-05;0800;null;null;null;null;
2023-09-05;0900;null;null;null;null;
2023-09-05;1000;null;null;null;null;
2023-09-05;1100;0;7.1;5.6;90;
2023-09-05;1200;null;null;null;null;
2023-09-05;1300;0;9.7;5.5;75;
2023-09-05;1400;0;11.7;6.3;70;
2023-09-05;1500;0;13.5;6.2;62;
2023-09-05;1600;0;14.9;5.1;52;
2023-09-05;1700;0;16.2;4;44;
2023-09-05;1800;0;17;4.9;45;
2023-09-05;1900;0;17;4;42;
2023-09-05;2000;0;16.6;5.8;49;
2023-09-05;2100;0;15.2;7.1;58;
2023-09-05;2200;0;13.1;7;66;
2023-09-05;2300;0;12.7;7.7;72;
2023-09-06;0000;0;11.9;7.6;75;
2023-09-06;0100;0;11.5;7.1;74;
2023-09-06;0200;0;10.6;7.5;81;
2023-09-06;0300;0;9.9;7.5;85;
2023-09-06;0400;0;9.9;7.7;86;
2023-09-06;0500;0;9.2;7.6;90;
2023-09-06;0600;0;9;7.7;91;
2023-09-06;0700;0;8.7;7.6;93;
2023-09-06;0800;0;7.9;6.9;93;
2023-09-06;0900;0;8;6.2;88;
2023-09-06;1000;0;8.3;6.2;86;
2023-09-06;1100;0;10;7;82;
2023-09-06;1200;0;12.2;8.4;77;
2023-09-06;1300;0;14.1;9.5;74;
2023-09-06;1400;0;15.5;10.3;71;
2023-09-06;1500;0;17;11.4;69;
2023-09-06;1600;0;18.7;12.5;67;
2023-09-06;1700;0;19.5;12.9;66;
2023-09-06;1800;0;19.8;13.5;67;
2023-09-06;1900;0;19.7;13.6;68;
2023-09-06;2000;0;19.7;14;70;
2023-09-06;2100;0;19;13.9;72;
2023-09-06;2200;.8;17.4;14.7;84;
2023-09-06;2300;0;17.4;14.4;82;

