Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;18.4;9.6;56;
2023-09-01;0100;0;16.1;10.3;68;
2023-09-01;0200;0;16.9;10.2;65;
2023-09-01;0300;0;16.6;10.3;66;
2023-09-01;0400;0;16.1;10.3;68;
2023-09-01;0500;0;16.3;10.3;68;
2023-09-01;0600;0;16.4;10.2;67;
2023-09-01;0700;0;16;10.3;69;
2023-09-01;0800;0;16.1;10.5;69;
2023-09-01;0900;0;15.9;10.7;71;
2023-09-01;1000;0;16;11;72;
2023-09-01;1100;0;15.5;11.7;78;
2023-09-01;1200;0;16.7;12.3;75;
2023-09-01;1300;0;18.6;14.8;79;
2023-09-01;1400;0;20.1;15.8;76;
2023-09-01;1500;0;20.8;15.7;73;
2023-09-01;1600;0;19.4;15.5;78;
2023-09-01;1700;.2;17.9;15.9;88;
2023-09-01;1800;1;17.5;16.2;92;
2023-09-01;1900;1.8;17.4;16.4;93;
2023-09-01;2000;1.2;17.5;16.4;93;
2023-09-01;2100;1.4;17.4;15.7;90;
2023-09-01;2200;2.2;17.2;15;87;
2023-09-01;2300;2.6;17.2;14.8;86;
2023-09-02;0000;.2;16.5;15.1;91;
2023-09-02;0100;.2;17.5;15.3;87;
2023-09-02;0200;0;18;15.4;85;
2023-09-02;0300;0;18.3;14.9;81;
2023-09-02;0400;0;16.9;15.1;89;
2023-09-02;0500;0;16.1;14.8;92;
2023-09-02;0600;0;16.2;14.9;92;
2023-09-02;0700;0;15.8;14.5;92;
2023-09-02;0800;0;15.7;14.7;94;
2023-09-02;0900;0;16.1;14.6;91;
2023-09-02;1000;0;16.5;15;91;
2023-09-02;1100;0;16.6;14.8;89;
2023-09-02;1200;0;16.7;14.9;89;
2023-09-02;1300;0;17;15.3;89;
2023-09-02;1400;0;17.3;15.6;90;
2023-09-02;1500;0;17.2;15.8;91;
2023-09-02;1600;0;17.5;16;91;
2023-09-02;1700;0;17.3;16;93;
2023-09-02;1800;0;17.2;15.9;92;
2023-09-02;1900;0;17;15.9;93;
2023-09-02;2000;0;17.9;16.5;91;
2023-09-02;2100;0;17.8;16.1;90;
2023-09-02;2200;0;17.4;16.1;92;
2023-09-02;2300;0;17;15.9;93;
2023-09-03;0000;0;17.3;16.1;92;
2023-09-03;0100;0;17.2;15.7;91;
2023-09-03;0200;0;17.1;15.7;91;
2023-09-03;0300;0;17.4;15.8;90;
2023-09-03;0400;8.4;17;15.7;92;
2023-09-03;0500;.2;17.3;16.4;94;
2023-09-03;0600;.2;17.2;15.9;92;
2023-09-03;0700;3.2;17;16.1;94;
2023-09-03;0800;.8;16.9;16.1;95;
2023-09-03;0900;21.4;17.2;16.4;95;
2023-09-03;1000;15.6;17.7;17;96;
2023-09-03;1100;1.6;17.9;17.2;96;
2023-09-03;1200;1.6;18;17.3;96;
2023-09-03;1300;1.4;18.2;17.5;96;
2023-09-03;1400;0;18.1;17.4;96;
2023-09-03;1500;6.8;17.6;16.9;96;
2023-09-03;1600;2;18.8;18.1;95;
2023-09-03;1700;1.4;18.2;17;93;
2023-09-03;1800;1.2;18.5;17.1;91;
2023-09-03;1900;.2;18.4;16.7;90;
2023-09-03;2000;0;18.6;16.7;88;
2023-09-03;2100;6.6;17.7;16.6;94;
2023-09-03;2200;11;17.8;17;95;
2023-09-03;2300;3.6;17.9;17.1;95;
2023-09-04;0000;0;17.9;17;95;
2023-09-04;0100;0;18.1;17.2;95;
2023-09-04;0200;1.8;18.4;17.6;95;
2023-09-04;0300;11;19.1;18;93;
2023-09-04;0400;2;19.1;18.3;95;
2023-09-04;0500;1.4;19.3;18.4;95;
2023-09-04;0600;11.2;18.2;17.4;95;
2023-09-04;0700;2.4;18.3;17.5;95;
2023-09-04;0800;5.2;18.2;17.4;96;
2023-09-04;0900;4.6;17.9;17.2;96;
2023-09-04;1000;4.8;18;17.3;96;
2023-09-04;1100;16.2;18;17.3;96;
2023-09-04;1200;1.2;18.1;17.4;96;
2023-09-04;1300;5;18.3;17.6;96;
2023-09-04;1400;1.8;17.2;16.5;96;
2023-09-04;1500;4.4;16.6;16;96;
2023-09-04;1600;3.8;15.7;15;96;
2023-09-04;1700;1.6;15.5;14.9;96;
2023-09-04;1800;.2;14.8;14.2;96;
2023-09-04;1900;.8;14.5;13.8;96;
2023-09-04;2000;3.8;13.9;13.2;95;
2023-09-04;2100;9.4;13.5;12.8;95;
2023-09-04;2200;3.6;13.3;12.4;94;
2023-09-04;2300;1.4;12.9;12.1;95;
2023-09-05;0000;.6;12.5;11.7;95;
2023-09-05;0100;.2;11.9;11.2;95;
2023-09-05;0200;0;11.3;10.6;95;
2023-09-05;0300;.2;10.8;10.1;95;
2023-09-05;0400;.4;10.1;9.4;96;
2023-09-05;0500;0;10;9.3;96;
2023-09-05;0600;0;9.8;9.1;96;
2023-09-05;0700;0;9;8.4;96;
2023-09-05;0800;0;8.6;8;96;
2023-09-05;0900;0;8.5;7.9;96;
2023-09-05;1000;0;8.6;8;96;
2023-09-05;1100;0;8.8;8.2;96;
2023-09-05;1200;0;9.2;8.6;95;
2023-09-05;1300;0;10.2;8.6;90;
2023-09-05;1400;0;11.3;8.6;84;
2023-09-05;1500;0;13.2;10.2;82;
2023-09-05;1600;0;14;10.1;77;
2023-09-05;1700;.2;14.8;10;73;
2023-09-05;1800;0;14.9;8.7;66;
2023-09-05;1900;0;15.3;10;71;
2023-09-05;2000;0;14.5;8.8;69;
2023-09-05;2100;0;13.1;8.8;75;
2023-09-05;2200;0;11.2;8.5;83;
2023-09-05;2300;0;10.6;8.2;85;
2023-09-06;0000;0;10;8.1;88;
2023-09-06;0100;0;9.7;8.1;90;
2023-09-06;0200;0;9.9;7.4;85;
2023-09-06;0300;0;9.7;7.4;86;
2023-09-06;0400;0;9.3;7.2;86;
2023-09-06;0500;0;8.9;7.2;89;
2023-09-06;0600;0;8.5;7.2;92;
2023-09-06;0700;0;8.4;7.1;92;
2023-09-06;0800;0;8.2;7;92;
2023-09-06;0900;0;7.9;6.7;92;
2023-09-06;1000;0;7.7;6.6;93;
2023-09-06;1100;0;9.3;7.3;87;
2023-09-06;1200;0;11.5;8.5;82;
2023-09-06;1300;0;14.5;10.5;77;
2023-09-06;1400;0;17.9;12.5;71;
2023-09-06;1500;0;20.1;13.8;67;
2023-09-06;1600;0;22;14.8;64;
2023-09-06;1700;0;22.3;14.9;63;
2023-09-06;1800;0;22.2;15.3;65;
2023-09-06;1900;0;22.2;15.8;67;
2023-09-06;2000;0;21.6;15.7;69;
2023-09-06;2100;0;20.7;15.8;73;
2023-09-06;2200;0;20.1;15.6;75;
2023-09-06;2300;0;18.5;14.6;78;

