Nome: TRAMANDAI
Codigo Estacao: A834
Latitude: -30.01027777
Longitude: -50.13583333
Altitude: 4.56
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;null;15.3;12.4;83;
2023-09-01;0100;null;15.9;13;83;
2023-09-01;0200;null;16.2;13.4;84;
2023-09-01;0300;null;15.4;12.8;85;
2023-09-01;0400;null;15.2;12.8;85;
2023-09-01;0500;null;15.9;13.5;85;
2023-09-01;0600;null;16;13.5;86;
2023-09-01;0700;null;16.2;13.8;85;
2023-09-01;0800;null;16.1;13.7;86;
2023-09-01;0900;null;16.2;13.4;84;
2023-09-01;1000;null;16.6;13.8;84;
2023-09-01;1100;null;17.2;14.3;83;
2023-09-01;1200;null;17.6;14.8;84;
2023-09-01;1300;null;18.1;14.9;81;
2023-09-01;1400;null;17.6;14.4;82;
2023-09-01;1500;null;17.8;14.3;80;
2023-09-01;1600;null;16.9;14;83;
2023-09-01;1700;null;16.6;13.9;84;
2023-09-01;1800;null;16.9;14;83;
2023-09-01;1900;null;17.4;14.3;82;
2023-09-01;2000;null;17.6;14.3;81;
2023-09-01;2100;null;17.6;14.3;81;
2023-09-01;2200;null;17.4;14.4;82;
2023-09-01;2300;null;17.4;14.3;82;
2023-09-02;0000;null;17.4;14.4;83;
2023-09-02;0100;null;17.3;14.4;83;
2023-09-02;0200;null;17.3;14.3;83;
2023-09-02;0300;null;17.1;14.2;83;
2023-09-02;0400;null;17.1;14.3;84;
2023-09-02;0500;null;16.9;14.2;84;
2023-09-02;0600;null;17;14.2;84;
2023-09-02;0700;null;17.1;14.2;83;
2023-09-02;0800;null;17.6;14.5;82;
2023-09-02;0900;null;17.7;14.3;81;
