Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;12.1;4.7;61;
2023-09-01;0100;0;10.8;2.3;56;
2023-09-01;0200;0;10.5;6.1;74;
2023-09-01;0300;0;10.8;5.3;69;
2023-09-01;0400;0;9.8;6.4;79;
2023-09-01;0500;0;9.1;6.4;83;
2023-09-01;0600;0;7.5;6.1;91;
2023-09-01;0700;0;7.6;6.7;94;
2023-09-01;0800;0;7.9;6.4;90;
2023-09-01;0900;0;7.9;7;94;
2023-09-01;1000;0;8.2;7.3;95;
2023-09-01;1100;0;12.6;9.6;82;
2023-09-01;1200;0;15.3;11.2;76;
2023-09-01;1300;0;17;12.7;76;
2023-09-01;1400;0;18.3;13.8;75;
2023-09-01;1500;0;18.8;14.1;74;
2023-09-01;1600;0;18.4;14.2;76;
2023-09-01;1700;0;18.7;14.6;77;
2023-09-01;1800;1.6;16.7;15.5;93;
2023-09-01;1900;0;17;15.7;92;
2023-09-01;2000;0;17.2;15.8;92;
2023-09-01;2100;.2;16.9;15.7;92;
2023-09-01;2200;0;16.4;15.3;93;
2023-09-01;2300;0;16.1;15.3;95;
2023-09-02;0000;0;16.1;15.5;96;
2023-09-02;0100;0;16.1;15.4;96;
2023-09-02;0200;0;15.9;15.3;96;
2023-09-02;0300;0;15.2;14.7;97;
2023-09-02;0400;0;14.9;14.6;98;
2023-09-02;0500;0;14.5;14.2;99;
2023-09-02;0600;0;14.4;14.2;99;
2023-09-02;0700;0;13.9;13.7;99;
2023-09-02;0800;0;13.2;13.1;99;
2023-09-02;0900;0;13.8;13.7;99;
2023-09-02;1000;0;13.3;13.2;99;
2023-09-02;1100;0;13.7;13.6;99;
2023-09-02;1200;0;14;13.9;99;
2023-09-02;1300;0;15.1;14.9;99;
2023-09-02;1400;0;17.8;17.7;99;
2023-09-02;1500;0;20.9;18.2;84;
2023-09-02;1600;0;21.3;17;76;
2023-09-02;1700;0;22.3;17.9;76;
2023-09-02;1800;0;21.8;17.6;77;
2023-09-02;1900;0;22.3;17.6;75;
2023-09-02;2000;0;19.7;16.8;83;
2023-09-02;2100;0;18.6;16.6;88;
2023-09-02;2200;0;17.8;16.3;91;
2023-09-02;2300;0;17.7;16.4;92;
2023-09-03;0000;0;17.6;16.5;93;
2023-09-03;0100;0;17.3;16.3;94;
2023-09-03;0200;0;15.7;14.9;95;
2023-09-03;0300;0;14.8;14.3;97;
2023-09-03;0400;0;14.8;14.1;96;
2023-09-03;0500;0;14.3;13.7;96;
2023-09-03;0600;0;14;13.5;96;
2023-09-03;0700;0;14;13.5;97;
2023-09-03;0800;3.8;13.9;13.6;98;
2023-09-03;0900;4.4;13.9;13.7;98;
2023-09-03;1000;4.6;14;13.8;99;
2023-09-03;1100;6.4;14.2;14.1;99;
2023-09-03;1200;0;14.6;14.4;99;
2023-09-03;1300;.2;14.9;14.7;99;
2023-09-03;1400;0;15.4;15;98;
2023-09-03;1500;.2;15.4;15;97;
2023-09-03;1600;0;15.7;14.9;95;
2023-09-03;1700;0;15.8;14.9;94;
2023-09-03;1800;0;15.6;15;96;
2023-09-03;1900;0;15.5;14.9;96;
2023-09-03;2000;0;15.4;15.1;98;
2023-09-03;2100;0;15.4;15.2;99;
2023-09-03;2200;0;15.8;15.6;99;
2023-09-03;2300;0;16.1;15.9;99;
2023-09-04;0000;0;15.5;15.3;99;
2023-09-04;0100;0;15.7;15.5;99;
2023-09-04;0200;0;15.6;15.4;99;
2023-09-04;0300;0;15.7;15.6;99;
2023-09-04;0400;0;15.5;15.4;99;
2023-09-04;0500;0;15.4;15.3;99;
2023-09-04;0600;0;15.4;15.3;99;
2023-09-04;0700;0;15.3;15.2;99;
2023-09-04;0800;0;15.3;15.2;99;
2023-09-04;0900;.2;15.3;15.3;100;
2023-09-04;1000;1.6;15.3;15.3;100;
2023-09-04;1100;2.6;15.3;15.2;100;
