Nome: SOLEDADE
Codigo Estacao: A837
Latitude: -28.859211
Longitude: -52.542387
Altitude: 660.44
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;14.5;9.5;72;
2023-09-01;0100;0;13.5;9.1;75;
2023-09-01;0200;0;12.4;8.8;78;
2023-09-01;0300;0;12.4;9.4;82;
2023-09-01;0400;0;13;10.3;84;
2023-09-01;0500;0;12.6;10.3;86;
2023-09-01;0600;0;12.6;10.1;85;
2023-09-01;0700;0;12.3;9.8;85;
2023-09-01;0800;0;12;9.4;84;
2023-09-01;0900;0;14;10.6;80;
2023-09-01;1000;0;16.3;12;76;
2023-09-01;1100;0;19.4;12.5;64;
2023-09-01;1200;0;18.1;12.4;69;
2023-09-01;1300;0;18.8;12.6;67;
2023-09-01;1400;0;19.5;12.5;64;
2023-09-01;1500;0;19.4;12.4;64;
2023-09-01;1600;0;19.6;11.9;61;
2023-09-01;1700;0;19;12.2;65;
2023-09-01;1800;0;17.3;13;76;
2023-09-01;1900;.6;15.9;13.5;85;
2023-09-01;2000;2;15.4;14;92;
2023-09-01;2100;3.4;15.2;14.1;93;
2023-09-01;2200;4.4;15;14.3;95;
2023-09-01;2300;1.8;15.1;14.5;96;
2023-09-02;0000;1.6;15;14.2;95;
2023-09-02;0100;4.4;14.8;14;95;
2023-09-02;0200;1.4;15;14.3;95;
2023-09-02;0300;2.8;15.2;14.6;96;
2023-09-02;0400;1.4;15.3;14.7;96;
2023-09-02;0500;.4;15.3;14.4;94;
2023-09-02;0600;.6;15.4;14.4;94;
2023-09-02;0700;.2;16.4;14.2;87;
2023-09-02;0800;0;16;13.9;87;
2023-09-02;0900;0;15.4;13.1;86;
2023-09-02;1000;0;16;13.1;83;
2023-09-02;1100;0;16;13.3;84;
2023-09-02;1200;0;16.8;13.8;83;
2023-09-02;1300;0;17.6;14.5;82;
2023-09-02;1400;0;17.8;14.8;83;
2023-09-02;1500;0;18.4;15.1;81;
2023-09-02;1600;0;18.5;15.6;83;
2023-09-02;1700;0;18.5;15.7;84;
2023-09-02;1800;0;18.3;15.6;84;
2023-09-02;1900;0;18;15.7;87;
2023-09-02;2000;0;17.5;15.7;89;
2023-09-02;2100;0;17.4;15.2;87;
2023-09-02;2200;0;16.1;14.8;92;
2023-09-02;2300;0;16;14.8;92;
2023-09-03;0000;0;16.5;15.1;92;
2023-09-03;0100;0;16.2;14.8;91;
2023-09-03;0200;0;17;14.9;87;
2023-09-03;0300;0;17.4;14.6;84;
2023-09-03;0400;0;18;14.2;78;
2023-09-03;0500;0;17.3;14.6;84;
2023-09-03;0600;1.4;17.3;15.2;87;
2023-09-03;0700;2.8;16.1;14.8;92;
2023-09-03;0800;0;16.5;15.5;94;
2023-09-03;0900;11.2;16.2;15.6;96;
2023-09-03;1000;2.6;16.8;16.1;96;
2023-09-03;1100;3;16.6;15.9;96;
2023-09-03;1200;4.2;16.7;16;96;
2023-09-03;1300;3.6;16.9;16.1;95;
2023-09-03;1400;3.4;17;16.2;95;
2023-09-03;1500;8.4;17;16.4;96;
2023-09-03;1600;13;16.5;15.9;96;
2023-09-03;1700;.2;17.1;16;93;
2023-09-03;1800;0;17.9;16.5;92;
2023-09-03;1900;1.2;17.8;16.8;94;
2023-09-03;2000;0;17.6;16.8;95;
2023-09-03;2100;0;17.4;16.7;95;
2023-09-03;2200;0;17.9;16.9;94;
2023-09-03;2300;.8;18.2;17.4;95;
2023-09-04;0000;2.4;18.7;17.9;95;
2023-09-04;0100;3.2;18.9;18.2;95;
2023-09-04;0200;2.6;18.4;17.7;95;
2023-09-04;0300;4;18.1;17.3;95;
2023-09-04;0400;17;17.9;17.3;96;
2023-09-04;0500;1.2;17.8;17.2;96;
2023-09-04;0600;8.6;17.7;17.2;96;
2023-09-04;0700;3.2;17.7;17.2;97;
2023-09-04;0800;6;17.8;17.3;97;
2023-09-04;0900;3.6;17.9;17.3;97;
2023-09-04;1000;8.2;18;17.4;97;
2023-09-04;1100;9.4;17.9;17.4;97;
2023-09-04;1200;8;17.7;17.2;97;
2023-09-04;1300;5.2;17.3;16.9;97;
2023-09-04;1400;5.2;16.4;15.9;97;
2023-09-04;1500;3;16.8;16.2;97;
2023-09-04;1600;.4;16.5;15.9;96;
2023-09-04;1700;3.8;16.1;15.5;96;
2023-09-04;1800;7.4;16.2;15.7;97;
2023-09-04;1900;0;16.4;15.7;96;
2023-09-04;2000;0;16.4;15.4;94;
2023-09-04;2100;0;16.2;15.3;95;
2023-09-04;2200;.6;15.9;15.3;96;
2023-09-04;2300;11.6;13.3;12.8;97;
2023-09-05;0000;.2;12.9;12.1;95;
2023-09-05;0100;.2;12.7;11.7;93;
2023-09-05;0200;0;12.2;11.2;94;
2023-09-05;0300;0;11.8;11;95;
2023-09-05;0400;0;11.6;10.6;94;
2023-09-05;0500;0;10.7;10;96;
2023-09-05;0600;0;10.4;9.8;96;
2023-09-05;0700;0;10.4;9.9;97;
2023-09-05;0800;.2;10.1;9.7;97;
2023-09-05;0900;0;9.8;9.3;97;
2023-09-05;1000;0;10.5;10;97;
2023-09-05;1100;0;12.6;10.9;90;
2023-09-05;1200;0;13.9;10.8;82;
2023-09-05;1300;0;13.5;10.1;80;
2023-09-05;1400;0;14.9;10.3;74;
2023-09-05;1500;0;15.9;11;73;
2023-09-05;1600;0;15.7;9.6;67;
2023-09-05;1700;0;15.9;9.5;65;
2023-09-05;1800;0;15.4;9.5;68;
2023-09-05;1900;0;13.8;9.2;74;
2023-09-05;2000;0;11.1;8.3;83;
2023-09-05;2100;0;9.5;7.8;89;
2023-09-05;2200;0;9.6;8;89;
2023-09-05;2300;0;8.7;6.9;89;
2023-09-06;0000;0;8;6.5;91;
2023-09-06;0100;0;8;6.7;91;
2023-09-06;0200;0;8.3;7.1;92;
2023-09-06;0300;0;8.6;7.5;93;
2023-09-06;0400;0;8.3;7.2;92;
2023-09-06;0500;0;8.1;7;93;
2023-09-06;0600;0;7.8;6.7;93;
2023-09-06;0700;0;7.8;6.9;93;
2023-09-06;0800;0;7.7;6.8;94;
2023-09-06;0900;0;8;7.2;95;
2023-09-06;1000;0;9.5;8.5;93;
2023-09-06;1100;0;11.9;9.9;88;
2023-09-06;1200;0;14.7;11.5;81;
2023-09-06;1300;0;16.9;12.7;76;
2023-09-06;1400;0;17.3;12.3;72;
2023-09-06;1500;0;18.6;13.5;72;
2023-09-06;1600;0;20.1;13.6;66;
2023-09-06;1700;0;20.5;13.5;64;
2023-09-06;1800;0;20.4;13.2;63;
2023-09-06;1900;0;19.5;13.1;66;
2023-09-06;2000;0;17.8;12.5;71;
2023-09-06;2100;0;16;11.8;76;
2023-09-06;2200;0;14.9;11.4;79;
2023-09-06;2300;0;14.5;11.1;80;

