Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;15.8;9.2;65;
2023-09-01;0100;0;16.1;9.3;64;
2023-09-01;0200;0;15.7;9.2;65;
2023-09-01;0300;0;14.1;9.1;72;
2023-09-01;0400;0;14.1;9.4;73;
2023-09-01;0500;0;14.5;9.5;72;
2023-09-01;0600;0;14.5;9.6;72;
2023-09-01;0700;0;14;9.4;74;
2023-09-01;0800;0;13.3;10;81;
2023-09-01;0900;0;13.1;10.8;86;
2023-09-01;1000;0;13.4;11.2;86;
2023-09-01;1100;0;15;11.9;82;
2023-09-01;1200;0;16.4;12.2;76;
2023-09-01;1300;0;16.2;12.6;79;
2023-09-01;1400;0;17;12.6;75;
2023-09-01;1500;0;17.7;12.7;73;
2023-09-01;1600;0;17.8;12.4;71;
2023-09-01;1700;0;17.9;13;73;
2023-09-01;1800;0;17.7;13.1;74;
2023-09-01;1900;0;16.7;13.3;80;
2023-09-01;2000;.4;16.1;13.6;85;
2023-09-01;2100;1;15.7;13.8;88;
2023-09-01;2200;2.8;15.2;13.9;92;
2023-09-01;2300;4.2;14.7;14;96;
2023-09-02;0000;3;14.7;13.9;95;
2023-09-02;0100;5.4;14.4;13.8;96;
2023-09-02;0200;13.4;14.4;14;97;
2023-09-02;0300;5.6;14.3;13.9;97;
2023-09-02;0400;15.2;14.4;14;97;
2023-09-02;0500;14.8;15;14.7;98;
2023-09-02;0600;10;15;14.7;98;
2023-09-02;0700;6.6;14.6;14.3;98;
2023-09-02;0800;1.6;13.7;13.1;97;
2023-09-02;0900;0;13.6;12.8;95;
2023-09-02;1000;0;13.9;12.8;93;
2023-09-02;1100;0;13.8;13.1;95;
2023-09-02;1200;0;14.5;13.3;93;
2023-09-02;1300;0;15;13.6;92;
2023-09-02;1400;0;15.9;14.3;90;
2023-09-02;1500;0;17.4;15;86;
2023-09-02;1600;0;18.7;15.8;83;
2023-09-02;1700;0;18.8;16;84;
2023-09-02;1800;0;18.6;16;85;
2023-09-02;1900;0;18.7;15.7;83;
2023-09-02;2000;0;18.1;16;88;
2023-09-02;2100;0;17.7;15.7;89;
2023-09-02;2200;0;16.9;15.7;93;
2023-09-02;2300;0;16.3;15.2;93;
2023-09-03;0000;0;15.9;14.9;94;
2023-09-03;0100;0;15.9;14.9;94;
2023-09-03;0200;0;15.7;14.8;94;
2023-09-03;0300;0;15.5;14.6;94;
2023-09-03;0400;0;16;14.9;93;
2023-09-03;0500;0;16;14.9;93;
2023-09-03;0600;0;16.3;14.8;91;
2023-09-03;0700;0;16.4;14.6;89;
2023-09-03;0800;0;16.5;14.5;88;
2023-09-03;0900;0;16.5;14.4;87;
2023-09-03;1000;.2;16.8;15.1;89;
2023-09-03;1100;14;15.8;15.3;97;
2023-09-03;1200;8.2;16.7;15.9;95;
2023-09-03;1300;9;16.3;15.8;97;
2023-09-03;1400;14.4;16.4;15.9;97;
