Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.16444444
Longitude: -51.53416666
Altitude: 623.27
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;17.3;11.5;69;
2023-09-01;0100;0;15.9;11.5;75;
2023-09-01;0200;0;14.9;11.5;80;
2023-09-01;0300;0;13.9;11.1;83;
2023-09-01;0400;0;14.4;10.6;78;
2023-09-01;0500;0;14.5;9.8;74;
2023-09-01;0600;0;14.4;9.4;72;
2023-09-01;0700;0;13.7;9.4;75;
2023-09-01;0800;0;13.9;9.8;76;
2023-09-01;0900;0;13.8;10;78;
2023-09-01;1000;0;12.9;9.8;82;
2023-09-01;1100;0;15.3;9.8;70;
2023-09-01;1200;0;16.7;9.5;62;
2023-09-01;1300;0;18.9;9.9;56;
2023-09-01;1400;0;19.6;11.2;59;
2023-09-01;1500;0;20.3;11;55;
2023-09-01;1600;0;20.8;11.5;55;
2023-09-01;1700;0;21;11.8;56;
2023-09-01;1800;0;21.4;12.5;57;
2023-09-01;1900;0;21.3;11.8;55;
2023-09-01;2000;0;20.9;11.7;56;
2023-09-01;2100;0;20.4;11.9;58;
2023-09-01;2200;0;19.6;12.2;62;
2023-09-01;2300;2;17.2;14.1;82;
2023-09-02;0000;2.4;16;13.9;88;
2023-09-02;0100;.8;15.7;14;90;
2023-09-02;0200;1.6;15.4;13.7;90;
2023-09-02;0300;3.4;15.6;14;90;
2023-09-02;0400;1.2;15.2;14;93;
2023-09-02;0500;3;14.8;13.9;94;
2023-09-02;0600;3.6;14.8;14;95;
2023-09-02;0700;.8;15.1;13.9;93;
2023-09-02;0800;.2;15.2;12.7;85;
2023-09-02;0900;0;15.5;12.6;83;
2023-09-02;1000;0;14.8;12.5;86;
2023-09-02;1100;0;15.5;13.3;87;
2023-09-02;1200;0;16.6;13.4;81;
2023-09-02;1300;0;17.2;13.5;79;
2023-09-02;1400;0;18.1;14.2;78;
2023-09-02;1500;0;18.4;14.2;76;
2023-09-02;1600;0;19.9;15.4;75;
2023-09-02;1700;0;19.7;15.1;74;
2023-09-02;1800;0;20.1;15.8;76;
2023-09-02;1900;0;19.7;15.7;78;
2023-09-02;2000;0;19.5;15.7;79;
2023-09-02;2100;0;18.9;15.4;80;
2023-09-02;2200;0;18.9;15.5;81;
2023-09-02;2300;0;18;15.2;84;
2023-09-03;0000;0;18.2;15.3;83;
2023-09-03;0100;0;18.1;15.1;83;
2023-09-03;0200;0;17.7;14.8;83;
2023-09-03;0300;0;17.2;14.6;85;
2023-09-03;0400;0;17;14.6;86;
2023-09-03;0500;0;17;14.6;86;
2023-09-03;0600;0;17;14.7;86;
2023-09-03;0700;0;17.4;14.5;83;
2023-09-03;0800;.2;16.7;14.9;89;
2023-09-03;0900;8.4;15.9;14.9;94;
2023-09-03;1000;14;16;15.3;96;
2023-09-03;1100;8.6;16;15.4;96;
2023-09-03;1200;2.8;16.6;16;96;
2023-09-03;1300;5.2;16.6;15.9;96;
2023-09-03;1400;6.8;16.7;16.1;96;
2023-09-03;1500;3;17.1;16.5;96;
2023-09-03;1600;1.4;17.3;16.6;96;
2023-09-03;1700;4;17.2;16.4;95;
2023-09-03;1800;1.2;17.5;16.8;96;
2023-09-03;1900;0;17.6;16.9;96;
2023-09-03;2000;0;18.1;17;93;
2023-09-03;2100;0;18.2;17;93;
2023-09-03;2200;0;18.6;17.3;92;
2023-09-03;2300;0;18.8;17.1;90;
2023-09-04;0000;.2;19;17.5;91;
2023-09-04;0100;1;19.2;17.7;91;
2023-09-04;0200;3;18.9;17.7;93;
2023-09-04;0300;3.2;18.8;17.7;94;
2023-09-04;0400;3.6;18.4;17.6;95;
2023-09-04;0500;4.4;18.3;17.4;94;
2023-09-04;0600;18.2;18;17.4;96;
2023-09-04;0700;2.2;18;17.4;96;
2023-09-04;0800;8.6;18;17.4;96;
2023-09-04;0900;9.6;18.1;17.5;96;
2023-09-04;1000;9;18.1;17.5;96;
2023-09-04;1100;5.8;18.1;17.5;96;
2023-09-04;1200;8.8;18.2;17.6;96;
2023-09-04;1300;6.4;17.1;16.5;96;
2023-09-04;1400;9.8;16.4;15.8;97;
2023-09-04;1500;3.6;16.9;16.4;96;
2023-09-04;1600;3.6;17;16.4;96;
2023-09-04;1700;2.2;17.1;16.5;96;
2023-09-04;1800;4.4;17.1;16.5;96;
2023-09-04;1900;4.4;16.9;16.3;96;
2023-09-04;2000;10.4;16.4;15.9;97;
2023-09-04;2100;.4;15.5;14.8;96;
2023-09-04;2200;0;14.8;14.2;96;
2023-09-04;2300;0;14.6;14;96;
2023-09-05;0000;0;14.3;13.7;96;
2023-09-05;0100;4.8;13.7;13.2;97;
2023-09-05;0200;.4;13;12.4;96;
2023-09-05;0300;.4;12.5;11.8;95;
2023-09-05;0400;.2;12.2;11.5;96;
2023-09-05;0500;.2;11.9;11.1;95;
2023-09-05;0600;0;11.3;10.6;95;
2023-09-05;0700;.2;11;10.3;95;
2023-09-05;0800;0;11;10.3;96;
2023-09-05;0900;0;10.6;9.9;96;
2023-09-05;1000;0;10.3;9.6;96;
2023-09-05;1100;.2;10.3;9.5;95;
2023-09-05;1200;0;10.8;9.3;91;
2023-09-05;1300;0;11.2;9.6;90;
2023-09-05;1400;0;11.8;9.2;85;
2023-09-05;1500;0;12.5;8.9;79;
2023-09-05;1600;0;13.5;8.9;74;
2023-09-05;1700;0;14.5;9.3;71;
2023-09-05;1800;0;13.1;8.5;73;
2023-09-05;1900;0;12.5;7.5;72;
2023-09-05;2000;0;11.7;7.3;74;
2023-09-05;2100;0;10.4;7.2;80;
2023-09-05;2200;0;9.6;6.7;82;
2023-09-05;2300;0;9.2;7;86;
2023-09-06;0000;0;9;7.4;90;
2023-09-06;0100;0;9.2;7.6;90;
2023-09-06;0200;0;9;7.2;88;
2023-09-06;0300;0;8.1;6.5;90;
2023-09-06;0400;0;8.1;6.5;90;
2023-09-06;0500;0;8.1;6.6;90;
2023-09-06;0600;0;8;6.4;90;
2023-09-06;0700;0;7.6;6.5;92;
2023-09-06;0800;0;8;6.9;93;
2023-09-06;0900;0;8.7;7.1;89;
2023-09-06;1000;0;9.4;7.3;87;
2023-09-06;1100;0;10.7;8;83;
2023-09-06;1200;0;12.2;8.7;80;
2023-09-06;1300;0;15.2;10.6;74;
2023-09-06;1400;0;16.9;11.3;69;
2023-09-06;1500;0;17.9;11.3;65;
2023-09-06;1600;0;19.8;13;65;
2023-09-06;1700;0;20.6;12.9;61;
2023-09-06;1800;0;21.8;12.6;56;
2023-09-06;1900;0;21.9;11.7;52;
2023-09-06;2000;0;20.8;11.8;56;
2023-09-06;2100;0;18.8;11.3;62;
2023-09-06;2200;0;16.9;11;68;
2023-09-06;2300;0;15.4;10.8;74;

