Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;16.4;9;62;
2023-09-01;0100;0;15.5;8.4;62;
2023-09-01;0200;0;14.8;8;63;
2023-09-01;0300;0;13.1;7.5;69;
2023-09-01;0400;0;13;7.6;70;
2023-09-01;0500;0;12.5;7.8;73;
2023-09-01;0600;0;12.2;8.8;80;
2023-09-01;0700;0;12.4;10.3;87;
2023-09-01;0800;0;13.1;10;82;
2023-09-01;0900;0;13.2;9.3;78;
2023-09-01;1000;0;13.6;9.2;75;
2023-09-01;1100;0;15;9.7;71;
2023-09-01;1200;0;16.5;10.5;68;
2023-09-01;1300;0;18.4;10.4;60;
2023-09-01;1400;0;19.3;10.1;55;
2023-09-01;1500;0;19.6;10.8;57;
2023-09-01;1600;0;19.7;10.8;56;
2023-09-01;1700;0;19.6;11.3;59;
2023-09-01;1800;0;19.5;11.9;62;
2023-09-01;1900;0;18.6;12;66;
2023-09-01;2000;0;18.3;12;67;
2023-09-01;2100;0;17.8;11.9;68;
2023-09-01;2200;0;16.6;12;75;
2023-09-01;2300;0;16.1;12.2;78;
2023-09-02;0000;3.2;14.5;13;91;
2023-09-02;0100;3.6;13.9;13;94;
2023-09-02;0200;1;13.7;12.5;92;
2023-09-02;0300;.2;13.5;12;90;
2023-09-02;0400;1;13.5;12.5;94;
2023-09-02;0500;.8;13.3;12.5;95;
2023-09-02;0600;4.4;13.2;12.5;95;
2023-09-02;0700;6.4;12.8;12.3;97;
2023-09-02;0800;6.6;12.8;12.3;97;
2023-09-02;0900;3;12.4;12.1;98;
2023-09-02;1000;.4;12.8;12.3;97;
2023-09-02;1100;0;12.9;12.3;96;
2023-09-02;1200;0;13.6;12.3;92;
2023-09-02;1300;0;14.5;12.8;89;
2023-09-02;1400;0;16.1;13.8;87;
2023-09-02;1500;0;18.6;15.3;81;
2023-09-02;1600;0;18.8;14.6;76;
2023-09-02;1700;0;18.6;14.8;78;
2023-09-02;1800;0;18.7;14.8;78;
2023-09-02;1900;0;17.9;14.7;81;
2023-09-02;2000;0;17.9;14.9;83;
2023-09-02;2100;0;17.3;14.7;85;
2023-09-02;2200;0;16.5;14.7;89;
2023-09-02;2300;0;15.6;14.4;92;
2023-09-03;0000;0;15.7;14.5;92;
2023-09-03;0100;0;15.8;14.2;90;
2023-09-03;0200;0;15.5;14.2;92;
2023-09-03;0300;0;15.3;13.9;92;
2023-09-03;0400;0;14.8;13.7;93;
2023-09-03;0500;0;15;14;94;
2023-09-03;0600;0;15.1;13.9;92;
2023-09-03;0700;0;15.2;13.7;91;
2023-09-03;0800;0;16;13.6;85;
2023-09-03;0900;0;16;13.7;86;
2023-09-03;1000;0;16.3;14.2;88;
2023-09-03;1100;2;15.4;14;91;
2023-09-03;1200;11;15;14.5;97;
2023-09-03;1300;9;15.1;14.7;98;
