Nome: SAO LUIZ GONZAGA
Codigo Estacao: A852
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.5
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;22.2;11.5;51;
2023-09-01;0100;0;21.4;10.6;50;
2023-09-01;0200;0;20.8;10.3;51;
2023-09-01;0300;0;20.1;10.1;53;
2023-09-01;0400;0;19.7;10.8;56;
2023-09-01;0500;0;18.7;11.1;62;
2023-09-01;0600;0;17.6;11.5;67;
2023-09-01;0700;0;16.4;11.5;73;
2023-09-01;0800;0;16.5;11.6;73;
2023-09-01;0900;0;16.4;11.8;74;
2023-09-01;1000;0;16.3;12.1;76;
2023-09-01;1100;3.6;15;14.1;94;
2023-09-01;1200;.6;16.1;15.6;96;
2023-09-01;1300;0;17.8;16.1;90;
2023-09-01;1400;0;18.6;17.1;91;
2023-09-01;1500;0;19.3;17.6;90;
2023-09-01;1600;1.6;18.7;18;95;
2023-09-01;1700;3.8;18.4;18.2;99;
2023-09-01;1800;3.8;18.2;18.2;100;
2023-09-01;1900;5.2;18.1;18.1;100;
2023-09-01;2000;5.8;18;18;100;
2023-09-01;2100;3.6;17.8;17.8;100;
2023-09-01;2200;3;17.9;17.8;100;
2023-09-01;2300;3.8;17.7;17.7;100;
2023-09-02;0000;2.6;17.5;17.3;98;
2023-09-02;0100;6.2;17.4;16.9;97;
2023-09-02;0200;6.8;17;17;100;
2023-09-02;0300;4;17.3;17.2;99;
2023-09-02;0400;2;18.6;17.4;93;
2023-09-02;0500;0;19.5;16.7;84;
2023-09-02;0600;0;18.9;17.2;90;
2023-09-02;0700;0;18.6;16.8;89;
2023-09-02;0800;0;18.1;16.7;91;
2023-09-02;0900;0;18.4;16.5;89;
2023-09-02;1000;0;18.6;16.6;88;
2023-09-02;1100;0;18.5;16.6;89;
2023-09-02;1200;.4;18.2;17.2;94;
2023-09-02;1300;1.4;18;17.7;98;
2023-09-02;1400;1.2;18.2;18.2;100;
2023-09-02;1500;.8;18.6;18.2;97;
2023-09-02;1600;1.6;18.4;18.4;100;
2023-09-02;1700;.8;18.7;18.3;97;
2023-09-02;1800;4;18.5;18.4;99;
2023-09-02;1900;5.6;18.8;18.5;98;
2023-09-02;2000;0;20.4;18.9;91;
2023-09-02;2100;0;20;18.7;92;
2023-09-02;2200;0;19.5;18.5;94;
2023-09-02;2300;0;18.6;18.2;98;
2023-09-03;0000;0;18.4;18;98;
2023-09-03;0100;0;18.9;18.1;95;
2023-09-03;0200;1.8;18.3;17.8;97;
2023-09-03;0300;12.2;18.2;18.2;100;
2023-09-03;0400;3.8;18.2;18.2;100;
2023-09-03;0500;1.2;18.3;17.7;96;
2023-09-03;0600;.2;19;17.4;91;
2023-09-03;0700;.2;18.3;18;98;
2023-09-03;0800;0;19;18;94;
2023-09-03;0900;0;19.8;18.2;90;
2023-09-03;1000;.4;19.4;18.6;95;
2023-09-03;1100;1;19.1;18.7;97;
2023-09-03;1200;.2;19.5;18.9;96;
2023-09-03;1300;0;20.2;19;93;
2023-09-03;1400;.2;20.5;19.1;92;
2023-09-03;1500;1.6;20.6;19.8;95;
2023-09-03;1600;0;21.2;19.1;88;
2023-09-03;1700;0;21;19;88;
2023-09-03;1800;.2;21.4;19.1;87;
2023-09-03;1900;.2;21.9;19.2;85;
2023-09-03;2000;0;20.8;19;90;
2023-09-03;2100;2;20.3;19;92;
2023-09-03;2200;4.8;19.8;19.8;100;
2023-09-03;2300;10;19.4;19.4;100;
2023-09-04;0000;0;19.5;19.5;100;
2023-09-04;0100;.4;19.7;19.7;100;
2023-09-04;0200;9.4;19.4;19.4;100;
2023-09-04;0300;8;19.9;19.9;100;
2023-09-04;0400;3.4;20.1;20.1;100;
2023-09-04;0500;15.6;20.3;20.3;100;
2023-09-04;0600;6.6;20.2;20.2;100;
2023-09-04;0700;8.4;20.3;20.3;100;
2023-09-04;0800;1.4;20.1;20.1;100;
2023-09-04;0900;6.8;19.5;19.4;100;
2023-09-04;1000;25;19.2;19.2;100;
2023-09-04;1100;12.6;18.9;18.9;100;
2023-09-04;1200;6;18.8;18.8;100;
2023-09-04;1300;1.2;18.7;18.7;100;
2023-09-04;1400;2.6;18.8;18.8;100;
2023-09-04;1500;1.8;18.8;18.8;100;
2023-09-04;1600;6.2;18.8;18.8;100;
2023-09-04;1700;1.6;19.5;19.5;100;
2023-09-04;1800;.2;18.4;18.4;100;
2023-09-04;1900;1.6;16.4;16.4;100;
2023-09-04;2000;1.8;15.7;15.7;100;
2023-09-04;2100;10.2;14.8;14.8;100;
2023-09-04;2200;1.6;14.7;14.7;100;
2023-09-04;2300;0;14.7;14.7;100;
2023-09-05;0000;.2;14.4;14.2;99;
2023-09-05;0100;0;14.4;13.9;97;
2023-09-05;0200;0;13.8;13.5;98;
2023-09-05;0300;.2;13.3;13.3;100;
2023-09-05;0400;0;12.7;12.6;100;
2023-09-05;0500;0;12.6;12.6;100;
2023-09-05;0600;.2;12.1;12.1;100;
2023-09-05;0700;0;11.9;11.4;97;
2023-09-05;0800;0;11.4;11.2;99;
2023-09-05;0900;0;11.5;11.1;97;
2023-09-05;1000;0;11.7;11.1;96;
2023-09-05;1100;0;12.1;11.6;96;
2023-09-05;1200;0;12.3;11.4;95;
2023-09-05;1300;0;14.1;11.8;86;
2023-09-05;1400;.2;14.6;12;85;
2023-09-05;1500;0;15.9;12.8;82;
2023-09-05;1600;0;16.8;12.8;78;
2023-09-05;1700;0;18;13.2;73;
2023-09-05;1800;0;18.5;13.3;72;
2023-09-05;1900;0;19;13.8;72;
2023-09-05;2000;0;18.8;14;74;
2023-09-05;2100;0;16.4;13.7;84;
2023-09-05;2200;0;14.2;12.4;89;
2023-09-05;2300;0;13;12;93;
2023-09-06;0000;0;11.9;10.6;92;
2023-09-06;0100;0;11;10.4;96;
2023-09-06;0200;0;10.6;9.9;95;
2023-09-06;0300;0;10.3;9.5;95;
2023-09-06;0400;0;9.9;9.2;95;
2023-09-06;0500;0;9.9;9.1;95;
2023-09-06;0600;0;10.4;8.9;91;
2023-09-06;0700;0;9.6;8.8;95;
2023-09-06;0800;0;9.4;8.8;96;
2023-09-06;0900;0;9.2;8.7;97;
2023-09-06;1000;0;9.1;8.6;97;
2023-09-06;1100;0;10.6;9.3;92;
2023-09-06;1200;0;13.7;10.7;82;
2023-09-06;1300;0;16.5;12.6;77;
2023-09-06;1400;0;19.4;13.9;71;
2023-09-06;1500;0;21.1;14.9;68;
2023-09-06;1600;0;22.6;16;66;
2023-09-06;1700;0;23.8;16.5;64;
2023-09-06;1800;0;24.8;17.6;64;
2023-09-06;1900;0;25.6;18.3;64;
2023-09-06;2000;0;25.1;17.6;63;
2023-09-06;2100;0;24.2;17.9;68;
2023-09-06;2200;0;22.7;18.4;77;
2023-09-06;2300;0;22.5;17.9;75;

