Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;18.8;11.7;64;
2023-09-01;0100;0;18.2;11.9;67;
2023-09-01;0200;0;16.6;11.4;71;
2023-09-01;0300;0;15.9;11;73;
2023-09-01;0400;0;16.1;11;72;
2023-09-01;0500;0;15.4;10.5;73;
2023-09-01;0600;0;17.4;11;66;
2023-09-01;0700;0;16.9;11.1;69;
2023-09-01;0800;0;17;11.5;70;
2023-09-01;0900;0;15.1;11.1;77;
2023-09-01;1000;0;14.1;10.9;81;
2023-09-01;1100;0;14.3;11.4;83;
2023-09-01;1200;1.4;14.8;11.9;83;
2023-09-01;1300;.6;15;13.1;88;
2023-09-01;1400;.2;16.4;12.9;80;
2023-09-01;1500;.2;16.1;13.1;83;
2023-09-01;1600;0;16.1;13;82;
2023-09-01;1700;0;16.4;13;80;
2023-09-01;1800;.6;15.9;13.9;88;
2023-09-01;1900;3.2;15.5;14.8;96;
2023-09-01;2000;3.8;15.4;15;97;
2023-09-01;2100;2.6;14.9;14.9;100;
2023-09-01;2200;6;15;15;100;
2023-09-01;2300;5.2;15;15;100;
2023-09-02;0000;6.8;15;15;100;
2023-09-02;0100;12;15.1;15.1;100;
2023-09-02;0200;4.8;15;15;100;
2023-09-02;0300;5.8;14.9;14.9;100;
2023-09-02;0400;7.6;15.1;15.1;100;
2023-09-02;0500;8.4;15;15;100;
2023-09-02;0600;7;14.9;14.9;100;
2023-09-02;0700;4.4;15;15;100;
2023-09-02;0800;0;15;15;100;
2023-09-02;0900;0;14.5;14.5;100;
2023-09-02;1000;0;14.5;14.2;98;
2023-09-02;1100;0;14.3;14;98;
2023-09-02;1200;0;14.7;14;95;
2023-09-02;1300;0;15.5;14.4;93;
2023-09-02;1400;0;16.4;15.2;93;
2023-09-02;1500;0;16.4;15.4;94;
2023-09-02;1600;0;17;15.8;92;
2023-09-02;1700;0;17.1;15.9;93;
2023-09-02;1800;0;17.1;16.2;95;
2023-09-02;1900;0;17.4;16.4;94;
2023-09-02;2000;0;17.7;16.6;93;
2023-09-02;2100;0;17.2;16.5;95;
2023-09-02;2200;0;16.6;16.6;100;
2023-09-02;2300;0;16.6;16.6;100;
2023-09-03;0000;0;16.7;16.1;97;
2023-09-03;0100;0;17.3;15.8;91;
2023-09-03;0200;0;16.8;15.5;92;
2023-09-03;0300;0;16.1;15.2;94;
2023-09-03;0400;0;16.1;14.7;91;
2023-09-03;0500;0;17.5;15.4;88;
2023-09-03;0600;0;17.5;15.1;86;
2023-09-03;0700;0;18.3;15.2;82;
2023-09-03;0800;0;19.3;15.7;79;
2023-09-03;0900;0;20.1;16;77;
2023-09-03;1000;3;16.3;16.3;100;
2023-09-03;1100;1;16.5;16.5;100;
2023-09-03;1200;3.4;16.5;16.5;100;
2023-09-03;1300;2.2;16.6;16.6;100;
2023-09-03;1400;.8;17.3;17.2;100;
2023-09-03;1500;4.4;17.1;17.1;100;
2023-09-03;1600;0;18.7;18.1;96;
2023-09-03;1700;0;20.6;18.1;86;
2023-09-03;1800;0;21.6;18.6;83;
2023-09-03;1900;0;21.7;18.2;80;
2023-09-03;2000;0;20.7;18.4;86;
2023-09-03;2100;0;20;18.6;91;
2023-09-03;2200;0;19.7;18.7;94;
2023-09-03;2300;3.4;19.2;19;99;
2023-09-04;0000;19.8;19;19;100;
2023-09-04;0100;8.2;19.1;19.1;100;
2023-09-04;0200;11.4;18.9;18.9;100;
2023-09-04;0300;.4;19.5;18.1;91;
2023-09-04;0400;0;20.4;19.3;94;
2023-09-04;0500;3;19.8;19.2;96;
2023-09-04;0600;22.6;19.2;19.2;100;
2023-09-04;0700;5.8;19.3;19.3;100;
2023-09-04;0800;5.6;19;19;100;
2023-09-04;0900;4.2;19;19;100;
2023-09-04;1000;1.6;19.6;19.6;100;
2023-09-04;1100;0;20.3;20.3;100;
2023-09-04;1200;1;20.6;20.5;99;
2023-09-04;1300;0;21.2;20.4;95;
2023-09-04;1400;.4;18.4;18.2;99;
2023-09-04;1500;1.6;17.6;17.5;100;
2023-09-04;1600;4.2;17.7;17.7;100;
2023-09-04;1700;0;18.4;18.3;99;
2023-09-04;1800;6.8;17.6;17.6;100;
2023-09-04;1900;2.6;18.3;18.3;100;
2023-09-04;2000;0;18.6;18.2;98;
2023-09-04;2100;0;18.3;17.8;97;
2023-09-04;2200;0;17.9;17.8;99;
2023-09-04;2300;5;16.6;16.6;100;
2023-09-05;0000;1.2;13.7;13.4;98;
2023-09-05;0100;.4;13.3;12.7;96;
2023-09-05;0200;0;13.3;12.1;92;
2023-09-05;0300;0;13.1;12.2;95;
2023-09-05;0400;0;12.8;12;95;
2023-09-05;0500;0;12.3;12.2;100;
2023-09-05;0600;.2;12;12;100;
2023-09-05;0700;0;11.5;11.5;100;
2023-09-05;0800;0;11.1;11.1;100;
2023-09-05;0900;0;10.5;10.5;100;
2023-09-05;1000;0;10.4;10.4;100;
2023-09-05;1100;0;10.7;10.7;100;
2023-09-05;1200;0;12.2;12.2;100;
2023-09-05;1300;0;13.1;12.5;96;
2023-09-05;1400;0;13.5;11.7;89;
2023-09-05;1500;0;14.3;11.7;84;
