Nome: MOSTARDAS
Codigo Estacao: A878
Latitude: -31.24833333
Longitude: -50.90638888
Altitude: 3.82
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;15.2;12.1;82;
2023-09-01;0100;0;15;12.4;85;
2023-09-01;0200;0;15.2;12.7;85;
2023-09-01;0300;0;15.3;13.2;87;
2023-09-01;0400;0;15.1;13.5;90;
2023-09-01;0500;0;15.3;13.8;91;
2023-09-01;0600;0;15.4;14;91;
2023-09-01;0700;0;15.6;14.3;92;
2023-09-01;0800;0;15.4;14.2;92;
2023-09-01;0900;0;15.6;14.4;93;
2023-09-01;1000;.2;15.7;14.6;93;
2023-09-01;1100;0;16.6;15.4;93;
2023-09-01;1200;0;17;15.5;91;
2023-09-01;1300;0;18;15.7;86;
2023-09-01;1400;0;18.6;15.7;84;
2023-09-01;1500;0;19.1;16.1;83;
2023-09-01;1600;0;19.6;16.6;83;
2023-09-01;1700;0;19.4;16.5;83;
2023-09-01;1800;0;17.6;15.5;87;
2023-09-01;1900;0;17.5;15.5;89;
2023-09-01;2000;0;17;15.3;90;
2023-09-01;2100;0;17.3;15.3;88;
2023-09-01;2200;0;17.7;15.2;85;
2023-09-01;2300;0;17.6;15.3;86;
2023-09-02;0000;0;17.5;15.5;88;
2023-09-02;0100;0;17.8;15.4;86;
2023-09-02;0200;.2;17.2;15.6;90;
2023-09-02;0300;.4;16.7;15.5;92;
2023-09-02;0400;0;16.9;15.7;93;
2023-09-02;0500;0;16.6;15.4;93;
2023-09-02;0600;0;16.6;15.2;92;
2023-09-02;0700;0;16.7;15.3;91;
2023-09-02;0800;0;16.7;15.3;92;
2023-09-02;0900;0;16.8;15.3;91;
2023-09-02;1000;0;16.7;15.2;91;
2023-09-02;1100;0;17.5;15.7;89;
2023-09-02;1200;0;19.1;16.6;86;
2023-09-02;1300;0;21.1;16.7;76;
2023-09-02;1400;0;22.8;17;70;
2023-09-02;1500;0;23.5;16.7;65;
2023-09-02;1600;0;24.8;16.7;61;
2023-09-02;1700;0;24.5;16.7;62;
2023-09-02;1800;0;24.7;16.7;61;
2023-09-02;1900;0;24.5;16.6;62;
2023-09-02;2000;0;19.4;16.7;84;
2023-09-02;2100;0;19.4;17;86;
2023-09-02;2200;0;18.6;16.6;89;
2023-09-02;2300;0;17.8;16.1;89;
2023-09-03;0000;0;17.9;16.3;91;
2023-09-03;0100;0;18;16.7;92;
2023-09-03;0200;0;17.4;16.2;93;
2023-09-03;0300;0;16.5;15.4;93;
2023-09-03;0400;0;17.3;16.2;94;
2023-09-03;0500;0;16.9;15.8;94;
2023-09-03;0600;.2;16.2;15.2;94;
2023-09-03;0700;0;15.8;15;95;
2023-09-03;0800;0;15.8;15;95;
2023-09-03;0900;0;15.9;15.2;96;
2023-09-03;1000;0;15.9;15.2;96;
2023-09-03;1100;0;16;15.3;96;
