Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.51361111
Longitude: -50.88277777
Altitude: 969.89
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;14.1;6.6;61;
2023-09-01;0100;0;10.4;6.4;77;
2023-09-01;0200;0;10.4;7.8;84;
2023-09-01;0300;0;10.8;8.3;85;
2023-09-01;0400;0;10.2;8.2;88;
2023-09-01;0500;0;9.4;8.1;91;
2023-09-01;0600;0;9.3;8.2;93;
2023-09-01;0700;0;9.9;8.5;91;
2023-09-01;0800;0;9.3;8.4;94;
2023-09-01;0900;0;8.5;7.3;92;
2023-09-01;1000;0;10.2;8.1;87;
2023-09-01;1100;0;13.6;9;74;
2023-09-01;1200;0;16.4;8.2;58;
2023-09-01;1300;0;18.8;8.2;50;
2023-09-01;1400;0;19.6;8.4;48;
2023-09-01;1500;0;19.7;9.5;52;
2023-09-01;1600;0;20.3;9.8;51;
2023-09-01;1700;0;19.6;9.1;51;
2023-09-01;1800;0;18.9;10.3;58;
2023-09-01;1900;0;17.9;10.6;62;
2023-09-01;2000;0;16.4;11.1;71;
2023-09-01;2100;0;15.9;10.2;69;
2023-09-01;2200;0;15.6;10;69;
2023-09-01;2300;0;14.2;10.2;77;
2023-09-02;0000;0;14.6;10;74;
2023-09-02;0100;0;13.4;10.3;81;
2023-09-02;0200;.4;13.5;10.4;82;
2023-09-02;0300;.8;12.1;11;93;
2023-09-02;0400;.6;12.4;10.8;90;
2023-09-02;0500;0;12.6;10.2;85;
2023-09-02;0600;3.8;11.7;11.2;96;
2023-09-02;0700;5;11.6;11.3;98;
2023-09-02;0800;6.8;11.4;11.2;99;
2023-09-02;0900;3.4;11.7;11.6;99;
2023-09-02;1000;.4;11.7;11.2;97;
2023-09-02;1100;0;12.3;11.6;96;
2023-09-02;1200;0;13.4;12.4;93;
2023-09-02;1300;0;14.9;13.1;89;
2023-09-02;1400;0;16.2;13.4;83;
2023-09-02;1500;0;17.6;14.1;80;
2023-09-02;1600;0;18.2;14.3;78;
2023-09-02;1700;0;18.5;15.1;81;
2023-09-02;1800;0;17.7;14.3;80;
2023-09-02;1900;0;17.1;14.7;85;
2023-09-02;2000;0;16.6;14.7;88;
2023-09-02;2100;0;15.7;14.1;90;
2023-09-02;2200;0;15.1;13.7;92;
2023-09-02;2300;0;15;13.8;93;
2023-09-03;0000;0;14.5;13.9;96;
2023-09-03;0100;0;13.7;13.3;97;
2023-09-03;0200;0;13.6;13.4;99;
2023-09-03;0300;0;13.2;13.2;100;
2023-09-03;0400;.2;13.1;13;99;
2023-09-03;0500;0;13.3;12.9;98;
2023-09-03;0600;0;13;12.6;98;
2023-09-03;0700;0;13.5;12.9;96;
2023-09-03;0800;0;13.6;12.8;95;
2023-09-03;0900;0;14.3;12.8;91;
2023-09-03;1000;0;14.8;13.1;90;
2023-09-03;1100;0;15.4;13.3;87;
2023-09-03;1200;1.2;14.1;13.5;96;
2023-09-03;1300;2.2;14.6;14.1;97;
2023-09-03;1400;4;14.8;14.5;98;
2023-09-03;1500;7;15.4;15;98;
2023-09-03;1600;18.6;15.4;15.4;100;
2023-09-03;1700;4.2;15.9;15.9;100;
2023-09-03;1800;6.6;16.9;16.9;100;
2023-09-03;1900;0;17.5;16.9;96;
2023-09-03;2000;0;17.5;16.8;96;
2023-09-03;2100;0;16.9;16.3;96;
2023-09-03;2200;0;17.4;16.9;97;
2023-09-03;2300;0;17.9;17.2;95;
2023-09-04;0000;2.8;18;16.3;90;
2023-09-04;0100;1.8;17.7;17;96;
2023-09-04;0200;7;16.7;15.8;94;
2023-09-04;0300;6;16.4;16;98;
2023-09-04;0400;4.8;16;15.8;99;
2023-09-04;0500;24.8;15.5;15.5;100;
2023-09-04;0600;3.4;16;16;100;
2023-09-04;0700;0;16.2;15.8;97;
2023-09-04;0800;16.8;15.9;15.9;100;
2023-09-04;0900;14.6;15.9;15.9;100;
2023-09-04;1000;2;16;16;100;
2023-09-04;1100;13.4;16.6;16.6;100;
2023-09-04;1200;6.6;17.1;17.1;100;
2023-09-04;1300;3.4;17.3;17.3;100;
2023-09-04;1400;5.2;20.1;19.5;97;
2023-09-04;1500;0;22.5;20.1;86;
2023-09-04;1600;6;17.7;16.2;91;
2023-09-04;1700;13;16.9;16.9;100;
2023-09-04;1800;3.4;16.5;16.5;100;
2023-09-04;1900;0;16.4;16.2;99;
2023-09-04;2000;11;14.9;14.9;100;
2023-09-04;2100;2.8;15.1;15.1;100;
2023-09-04;2200;0;15.1;15.1;100;
2023-09-04;2300;0;15.3;15.3;100;
2023-09-05;0000;0;17.2;16.6;97;
2023-09-05;0100;.2;17;16.2;95;
2023-09-05;0200;3.8;12;11.7;98;
2023-09-05;0300;1.2;11.4;11;98;
2023-09-05;0400;.4;11.1;10.9;99;
2023-09-05;0500;.2;10.6;10.4;98;
2023-09-05;0600;.2;10.1;9.9;99;
2023-09-05;0700;0;9.8;9.7;99;
2023-09-05;0800;.2;9.6;9.5;99;
2023-09-05;0900;.2;9.3;9.2;100;
2023-09-05;1000;0;9.1;8.9;98;
2023-09-05;1100;.2;9.7;9.6;99;
2023-09-05;1200;0;10;9.6;97;
2023-09-05;1300;0;10.9;9.1;89;
2023-09-05;1400;0;13.3;8;70;
2023-09-05;1500;0;14.6;8.9;69;
2023-09-05;1600;0;15.2;7.1;58;
2023-09-05;1700;0;15.9;6.1;52;
2023-09-05;1800;0;16;6.1;52;
2023-09-05;1900;0;16;6.9;55;
2023-09-05;2000;0;14.3;7.7;65;
2023-09-05;2100;0;11.2;7.9;80;
2023-09-05;2200;0;9.6;7.6;88;
2023-09-05;2300;0;8.3;7.1;92;
2023-09-06;0000;0;8.3;6.9;91;
2023-09-06;0100;0;7.5;6.1;91;
2023-09-06;0200;0;7.3;5.9;91;
2023-09-06;0300;0;7.5;6;90;
2023-09-06;0400;0;7.4;6;91;
2023-09-06;0500;0;8.5;7.1;91;
2023-09-06;0600;0;9.1;7.9;92;
2023-09-06;0700;0;9.8;8.7;93;
2023-09-06;0800;0;10.6;9.5;93;
2023-09-06;0900;0;10.7;9.4;91;
2023-09-06;1000;0;10.5;8.9;90;
2023-09-06;1100;0;11.4;9.2;87;
2023-09-06;1200;0;11.5;9.1;85;
2023-09-06;1300;0;14;9.3;73;
2023-09-06;1400;0;15.6;9.7;68;
2023-09-06;1500;0;16.6;10;65;
2023-09-06;1600;0;16.8;10.2;65;
2023-09-06;1700;0;17.5;11.1;66;
2023-09-06;1800;0;15.9;10.2;69;
2023-09-06;1900;0;13.9;9.8;76;
2023-09-06;2000;0;13.2;9.7;79;
2023-09-06;2100;0;12.5;9.5;82;
2023-09-06;2200;0;12.2;9.4;83;
2023-09-06;2300;0;12.2;9.5;83;

