Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;14;11.2;83;
2023-09-01;0100;0;14.9;11.4;80;
2023-09-01;0200;0;14.5;10.1;75;
2023-09-01;0300;0;13.7;8.8;72;
2023-09-01;0400;0;12.6;5.6;62;
2023-09-01;0500;0;12.4;4.7;59;
2023-09-01;0600;0;11.8;5.8;67;
2023-09-01;0700;0;11.9;6.3;69;
2023-09-01;0800;0;10.5;6.3;75;
2023-09-01;0900;0;9;5.9;80;
2023-09-01;1000;0;10.5;7.7;83;
2023-09-01;1100;0;13.7;9.3;75;
2023-09-01;1200;0;15.2;10.3;73;
2023-09-01;1300;.4;15.3;11.1;76;
2023-09-01;1400;3.6;13.4;11.7;90;
2023-09-01;1500;8.2;14.6;12.5;87;
2023-09-01;1600;1.6;14.3;12.7;90;
2023-09-01;1700;6.6;14.1;13.1;93;
2023-09-01;1800;4.8;15.4;13.6;89;
2023-09-01;1900;.2;16.3;13.9;86;
2023-09-01;2000;0;17.9;14.2;79;
2023-09-01;2100;.2;17.7;14.3;81;
2023-09-01;2200;0;18;14.5;80;
2023-09-01;2300;0;18.5;14.7;78;
2023-09-02;0000;0;18.3;14.5;79;
2023-09-02;0100;0;18;14.3;79;
2023-09-02;0200;0;17.8;14.2;79;
2023-09-02;0300;0;18;14.6;81;
2023-09-02;0400;0;18;14.7;81;
2023-09-02;0500;0;15.5;13.8;90;
2023-09-02;0600;0;14.9;13.6;92;
2023-09-02;0700;0;14.3;13.2;93;
2023-09-02;0800;0;14.6;13.4;92;
2023-09-02;0900;0;14.1;13.1;94;
2023-09-02;1000;0;13.8;12.9;94;
2023-09-02;1100;0;14.5;13.5;94;
2023-09-02;1200;0;15.5;14.3;92;
2023-09-02;1300;0;17;15;88;
2023-09-02;1400;0;20.2;16.6;80;
2023-09-02;1500;0;21.8;16.6;72;
2023-09-02;1600;0;23.3;17;68;
2023-09-02;1700;0;23.6;16.9;66;
2023-09-02;1800;0;23.2;16.8;67;
2023-09-02;1900;0;23.3;17;68;
2023-09-02;2000;0;23.2;16.6;66;
2023-09-02;2100;0;22;17.3;75;
2023-09-02;2200;0;20;16.9;83;
2023-09-02;2300;0;19.7;16.9;84;
2023-09-03;0000;0;18.9;16.8;88;
2023-09-03;0100;0;18.7;16.9;89;
2023-09-03;0200;0;18.4;16.7;90;
