Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.08944444
Longitude: -53.82666666
Altitude: 462
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;18.7;10.1;58;
2023-09-01;0100;0;17.1;10.7;66;
2023-09-01;0200;0;15.9;10.9;72;
2023-09-01;0300;0;15.2;10.7;74;
2023-09-01;0400;0;15;10.6;75;
2023-09-01;0500;0;15.4;10.9;74;
2023-09-01;0600;0;15.2;11.4;78;
2023-09-01;0700;0;15.1;11.2;78;
2023-09-01;0800;0;15.2;11.2;77;
2023-09-01;0900;0;14.9;11;77;
2023-09-01;1000;0;14.7;11;78;
2023-09-01;1100;0;15.1;11.2;77;
2023-09-01;1200;0;15.1;11.9;81;
2023-09-01;1300;.8;13.7;12.5;92;
2023-09-01;1400;.4;14.2;13;92;
2023-09-01;1500;0;16.2;13.6;85;
2023-09-01;1600;0;17.5;14.3;81;
2023-09-01;1700;0;18.5;15.1;81;
2023-09-01;1800;0;18.2;14.7;80;
2023-09-01;1900;0;17.9;14.9;83;
2023-09-01;2000;0;17.5;16;91;
2023-09-01;2100;.2;16.5;15.9;97;
2023-09-01;2200;.6;16.7;16.3;98;
2023-09-01;2300;1.4;16.5;16.2;98;
2023-09-02;0000;1.6;16.5;15.9;97;
2023-09-02;0100;1;16.1;15.6;97;
2023-09-02;0200;1.2;16.5;15.5;94;
2023-09-02;0300;.8;16.6;15.6;94;
2023-09-02;0400;.2;16.9;15.6;92;
2023-09-02;0500;0;17.9;15.2;84;
2023-09-02;0600;0;17.3;15.3;89;
2023-09-02;0700;0;16.3;15.2;93;
2023-09-02;0800;0;15.7;15.1;96;
2023-09-02;0900;0;15.7;15.1;96;
2023-09-02;1000;0;16.2;14.9;92;
2023-09-02;1100;0;16.3;15;92;
2023-09-02;1200;0;16.4;15;91;
2023-09-02;1300;0;16.2;15.1;94;
2023-09-02;1400;0;16.7;14.9;89;
2023-09-02;1500;0;17.4;15.4;88;
2023-09-02;1600;0;18.2;16;87;
2023-09-02;1700;0;18.3;16.3;88;
2023-09-02;1800;0;18.3;16.9;92;
