Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Pane
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;17.5;11.2;66;
2023-09-01;0100;0;16.2;11.2;72;
2023-09-01;0200;0;14.8;11;78;
2023-09-01;0300;0;15.7;12;79;
2023-09-01;0400;0;15.1;12.6;85;
2023-09-01;0500;0;13.9;11.8;87;
2023-09-01;0600;0;13.5;11;85;
2023-09-01;0700;0;13.1;10.4;84;
2023-09-01;0800;0;12.8;10.6;86;
2023-09-01;0900;0;12.8;10.9;89;
2023-09-01;1000;0;12.8;11.6;92;
2023-09-01;1100;0;13.2;11.9;92;
2023-09-01;1200;0;14.1;12.4;90;
2023-09-01;1300;0;16.5;13.6;83;
2023-09-01;1400;0;17.2;13.8;81;
2023-09-01;1500;0;18.9;14.5;76;
2023-09-01;1600;0;19.2;15.4;79;
2023-09-01;1700;0;19.5;15.8;79;
2023-09-01;1800;0;21.3;16.8;75;
2023-09-01;1900;0;20.7;16.9;79;
2023-09-01;2000;0;20.4;17.1;81;
2023-09-01;2100;0;20;16.8;82;
2023-09-01;2200;0;19.1;16.6;86;
2023-09-01;2300;0;19;16.4;85;
2023-09-02;0000;0;18.1;16.1;88;
2023-09-02;0100;0;17.7;15.6;87;
2023-09-02;0200;0;16.9;15.2;89;
2023-09-02;0300;0;16.6;15.1;91;
2023-09-02;0400;0;16.7;14.9;90;
2023-09-02;0500;0;16.3;14.7;90;
2023-09-02;0600;0;16;15.6;97;
2023-09-02;0700;0;15.7;15.7;100;
2023-09-02;0800;0;16.1;16.1;100;
2023-09-02;0900;0;16;14.4;90;
2023-09-02;1000;0;16;15.1;94;
2023-09-02;1100;0;16.1;14.8;92;
2023-09-02;1200;0;16.9;15.3;90;
2023-09-02;1300;0;18.5;16.1;86;
2023-09-02;1400;0;19.5;16.3;82;
2023-09-02;1500;0;19.6;16.4;82;
2023-09-02;1600;0;19.8;16.4;81;
2023-09-02;1700;0;19.3;16.6;85;
2023-09-02;1800;0;19.5;16.7;84;
2023-09-02;1900;0;19.8;16.8;83;
2023-09-02;2000;0;19.6;17;85;
2023-09-02;2100;0;19.9;17.1;84;
2023-09-02;2200;0;18.8;16.7;88;
2023-09-02;2300;0;17.9;17.8;100;
2023-09-03;0000;0;18;18;100;
2023-09-03;0100;0;17.9;17.1;95;
2023-09-03;0200;0;17.6;17.6;100;
2023-09-03;0300;0;17.5;16.3;93;
2023-09-03;0400;0;17.4;17.4;100;
2023-09-03;0500;0;16.9;16.9;100;
2023-09-03;0600;0;17.2;17.2;100;
2023-09-03;0700;1;17.7;17.7;100;
2023-09-03;0800;1.8;18;18;100;
2023-09-03;0900;.4;18;18;100;
2023-09-03;1000;2.6;17.9;17.9;100;
2023-09-03;1100;3.4;18.2;18.2;100;
2023-09-03;1200;13.2;18;18;100;
2023-09-03;1300;8;18.2;18.2;100;
2023-09-03;1400;10;18.3;18.3;100;
2023-09-03;1500;4;18.8;18.8;100;
2023-09-03;1600;2.6;19.1;18.4;95;
2023-09-03;1700;.8;19.7;17.7;88;
2023-09-03;1800;0;19.7;17.6;88;
2023-09-03;1900;1.8;19.2;19.2;100;
2023-09-03;2000;.6;19.4;18;91;
2023-09-03;2100;0;19.6;17.7;88;
2023-09-03;2200;0;20.2;17.1;82;
2023-09-03;2300;0;19.8;17.3;86;
2023-09-04;0000;0;20;17.5;86;
2023-09-04;0100;0;19.5;17.6;89;
2023-09-04;0200;0;19.5;17.9;91;
2023-09-04;0300;15.8;18.7;18.7;100;
2023-09-04;0400;1.6;18.8;18.8;100;
2023-09-04;0500;15.2;18.7;18.6;100;
2023-09-04;0600;2.6;18.5;18.4;99;
2023-09-04;0700;1.4;18.6;18.5;99;
2023-09-04;0800;2.8;18.7;18.5;99;
2023-09-04;0900;3.2;18.6;18.5;99;
2023-09-04;1000;1.8;18.6;18.5;99;
2023-09-04;1100;8.6;18.7;18.5;99;
2023-09-04;1200;3.4;18.8;18.7;99;
2023-09-04;1300;1.2;17.4;17.4;100;
2023-09-04;1400;1.2;17.4;17.4;100;
2023-09-04;1500;3.2;17;17;100;
2023-09-04;1600;6.8;16.5;16.5;100;
2023-09-04;1700;4.2;16.3;16.3;100;
2023-09-04;1800;.8;16.2;14.6;91;
2023-09-04;1900;0;15.8;14.2;90;
2023-09-04;2000;4.4;14.8;14.8;100;
2023-09-04;2100;4.4;14.8;14.8;100;
2023-09-04;2200;3.8;14.3;14.2;99;
2023-09-04;2300;1.6;14.2;14.2;100;
2023-09-05;0000;1.8;13.6;12;91;
2023-09-05;0100;.4;13.2;12;92;
