Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;12.2;6.9;70;
2023-09-01;0100;0;11.3;9.2;87;
2023-09-01;0200;0;11.8;8;78;
2023-09-01;0300;0;11.8;8.5;80;
2023-09-01;0400;0;11.5;9.5;88;
2023-09-01;0500;0;10.5;10;97;
2023-09-01;0600;0;10.5;10.2;98;
2023-09-01;0700;0;10.5;10.2;98;
2023-09-01;0800;0;10.7;10.7;100;
2023-09-01;0900;0;11.2;11.2;100;
2023-09-01;1000;0;11.4;11.4;100;
2023-09-01;1100;0;13.1;12.2;94;
2023-09-01;1200;0;15.7;12.8;82;
2023-09-01;1300;0;18.4;12.8;70;
2023-09-01;1400;0;17.8;12.1;69;
2023-09-01;1500;2.4;15.6;14.6;94;
2023-09-01;1600;0;18.7;14.3;76;
2023-09-01;1700;0;19;13.8;72;
2023-09-01;1800;0;19.9;14.2;70;
2023-09-01;1900;0;19.5;14.1;71;
2023-09-01;2000;0;19.2;13.9;71;
2023-09-01;2100;0;18.9;13.4;70;
2023-09-01;2200;0;18.3;13.5;74;
2023-09-01;2300;0;18;13.6;75;
2023-09-02;0000;0;18.1;13.9;76;
2023-09-02;0100;0;17.3;15;86;
2023-09-02;0200;0;17.3;15;86;
2023-09-02;0300;0;16.8;15.4;91;
2023-09-02;0400;0;16.5;15.4;93;
2023-09-02;0500;0;16.2;15.4;95;
2023-09-02;0600;0;16;15.6;97;
2023-09-02;0700;0;16;15.5;97;
2023-09-02;0800;0;16;15.5;97;
2023-09-02;0900;0;15.7;15.7;100;
2023-09-02;1000;0;16;15.9;99;
2023-09-02;1100;0;16.8;16.1;96;
2023-09-02;1200;0;17.3;16.3;94;
2023-09-02;1300;0;17.9;16.3;90;
2023-09-02;1400;0;19.2;16.7;85;
2023-09-02;1500;0;20.9;17.1;79;
2023-09-02;1600;0;21.8;16.4;71;
2023-09-02;1700;0;22;15.6;67;
2023-09-02;1800;0;21.7;15.7;69;
2023-09-02;1900;0;20.8;16;74;
2023-09-02;2000;0;19.9;16.3;80;
2023-09-02;2100;0;19.1;16.4;84;
2023-09-02;2200;0;18.6;16.5;88;
2023-09-02;2300;0;18;16.5;91;
2023-09-03;0000;0;17.7;16.5;93;
2023-09-03;0100;0;17.5;16.2;92;
2023-09-03;0200;0;16.6;15.5;93;
2023-09-03;0300;0;16.7;16.2;97;
2023-09-03;0400;0;17.7;16.1;90;
2023-09-03;0500;0;17.1;16.3;95;
2023-09-03;0600;0;16.9;16.6;98;
2023-09-03;0700;0;16.5;16.2;98;
2023-09-03;0800;0;16.1;16.1;100;
2023-09-03;0900;0;16.1;16.1;100;
2023-09-03;1000;2;16.4;16.3;100;
2023-09-03;1100;2.2;16.3;16.3;100;
2023-09-03;1200;2.4;16.8;16.8;100;
2023-09-03;1300;3.8;16.9;16.9;100;
2023-09-03;1400;.4;16.9;16.9;100;
2023-09-03;1500;1.6;16.8;16.8;100;
2023-09-03;1600;1.2;17.5;17.5;100;
2023-09-03;1700;1;17.4;17.3;100;
2023-09-03;1800;1.4;17.6;17.6;100;
2023-09-03;1900;.8;17.6;17.6;100;
2023-09-03;2000;1;17.7;17.7;100;
2023-09-03;2100;.2;17.5;17.5;100;
2023-09-03;2200;0;17.5;17.5;100;
2023-09-03;2300;0;17.5;17.5;100;
2023-09-04;0000;0;17.6;17.6;100;
2023-09-04;0100;0;17.6;17.6;100;
2023-09-04;0200;0;17.6;17.6;100;
2023-09-04;0300;0;17.7;17.7;100;
2023-09-04;0400;1.8;16.2;16.2;100;
2023-09-04;0500;14;16.3;16.2;100;
2023-09-04;0600;11;16.8;16.7;100;
2023-09-04;0700;2.2;16.8;16.8;100;
2023-09-04;0800;6;16.6;16.5;100;
2023-09-04;0900;3.2;16.7;16.6;100;
2023-09-04;1000;.8;16.3;16.3;100;
2023-09-04;1100;1.2;16.4;16.3;100;
2023-09-04;1200;5.2;16.4;16.3;100;
2023-09-04;1300;6.6;16.3;16.3;100;
2023-09-04;1400;2.6;16.4;16.3;100;
2023-09-04;1500;2;16.4;16.3;100;
2023-09-04;1600;1.6;16.7;16.7;100;
2023-09-04;1700;.8;15.7;15.7;100;
2023-09-04;1800;.4;14.7;14.6;100;
2023-09-04;1900;1.8;14.4;14.4;100;
2023-09-04;2000;.2;14.2;14.2;100;
2023-09-04;2100;.2;13.8;13.8;100;
2023-09-04;2200;.4;13.3;13.3;100;
2023-09-04;2300;3.6;13.1;13.1;100;
2023-09-05;0000;5;11.8;11.8;100;
2023-09-05;0100;2.6;11.2;11.2;100;
2023-09-05;0200;.6;10.6;10.5;100;
2023-09-05;0300;.2;10.1;10.1;100;
2023-09-05;0400;0;9.5;9.5;100;
2023-09-05;0500;0;9;9;100;
2023-09-05;0600;0;8.3;8;98;
2023-09-05;0700;0;7.7;7.1;96;
2023-09-05;0800;0;7.3;6.8;97;
2023-09-05;0900;0;6.3;6.2;99;
2023-09-05;1000;0;6;5.5;97;
2023-09-05;1100;0;6.4;5.8;96;
2023-09-05;1200;0;8;4.7;80;
2023-09-05;1300;0;10.2;3.7;64;
2023-09-05;1400;0;11.5;5.7;68;
2023-09-05;1500;0;12.4;5.8;64;
2023-09-05;1600;0;13.4;4;53;
2023-09-05;1700;0;13.9;2.2;45;
2023-09-05;1800;0;14.3;4.1;50;
2023-09-05;1900;0;14.8;6.2;56;
2023-09-05;2000;0;13.9;5.5;57;
2023-09-05;2100;0;12.1;5.9;66;
2023-09-05;2200;0;10.1;6.5;78;
2023-09-05;2300;0;9.3;6.4;82;
2023-09-06;0000;0;8.5;7.4;93;
2023-09-06;0100;0;8.4;7.7;96;
2023-09-06;0200;0;8.2;7.2;93;
2023-09-06;0300;0;7.6;7;96;
2023-09-06;0400;0;7;6.6;97;
2023-09-06;0500;0;7;6.7;98;
2023-09-06;0600;0;7;6.2;95;
2023-09-06;0700;0;6.9;6.2;95;
2023-09-06;0800;0;6.6;6.1;96;
2023-09-06;0900;0;6.4;5.7;95;
2023-09-06;1000;0;6.6;5.9;95;
2023-09-06;1100;0;8.4;6.2;86;
2023-09-06;1200;0;10.8;7.6;80;
2023-09-06;1300;0;13.5;8.4;72;
2023-09-06;1400;0;15.9;9.7;67;
2023-09-06;1500;0;17.6;11.2;66;
2023-09-06;1600;0;18.3;11.2;63;
2023-09-06;1700;0;18.4;11.1;63;
2023-09-06;1800;0;18.1;11.7;66;
2023-09-06;1900;0;17.5;11.5;68;
2023-09-06;2000;0;16.7;11.4;71;
2023-09-06;2100;0;14.7;11.4;81;
2023-09-06;2200;0;14.2;11.7;85;
2023-09-06;2300;0;13.9;11.5;85;

