Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;13.1;10.6;85;
2023-09-01;0100;0;12.4;10.3;87;
2023-09-01;0200;0;11;9.9;93;
2023-09-01;0300;0;10.3;9.5;95;
2023-09-01;0400;0;9.2;8.5;96;
2023-09-01;0500;0;8.8;8.3;97;
2023-09-01;0600;0;8.5;8;97;
2023-09-01;0700;0;7.8;7.4;97;
2023-09-01;0800;0;7.8;7.5;98;
2023-09-01;0900;0;8.8;8.4;98;
2023-09-01;1000;0;7;6.7;98;
2023-09-01;1100;0;10.6;10.2;98;
2023-09-01;1200;0;15;12.5;85;
2023-09-01;1300;0;20.4;11.9;58;
2023-09-01;1400;0;21.5;12.1;55;
2023-09-01;1500;0;22.3;11.3;50;
2023-09-01;1600;0;22.7;11.3;49;
2023-09-01;1700;0;22.8;11.4;49;
2023-09-01;1800;0;22;12.1;54;
2023-09-01;1900;0;21.1;12.4;58;
2023-09-01;2000;0;19.8;12.8;64;
2023-09-01;2100;0;18.1;13.3;74;
2023-09-01;2200;2.2;16;15.1;94;
2023-09-01;2300;2.8;15.7;15;96;
2023-09-02;0000;3.2;15.6;15;97;
2023-09-02;0100;2.8;15.5;15;97;
2023-09-02;0200;5.8;15.4;14.9;97;
2023-09-02;0300;6.8;15.3;14.8;97;
2023-09-02;0400;7.6;15.4;14.9;97;
2023-09-02;0500;11.4;15.3;14.7;96;
2023-09-02;0600;6.6;15.1;14.2;94;
2023-09-02;0700;3.4;15.7;14.5;93;
2023-09-02;0800;1.8;15;13.8;93;
2023-09-02;0900;.6;15.8;13.9;89;
2023-09-02;1000;0;16.8;13.5;81;
2023-09-02;1100;.2;16.3;13.7;85;
2023-09-02;1200;0;17.1;13.6;80;
2023-09-02;1300;0;17.9;14.1;78;
2023-09-02;1400;0;19.1;14.5;75;
2023-09-02;1500;0;20.7;15;70;
2023-09-02;1600;0;22.1;15.8;67;
2023-09-02;1700;0;21.6;15.7;69;
2023-09-02;1800;0;21;15.6;71;
2023-09-02;1900;0;20.9;16;74;
2023-09-02;2000;0;20.3;16.1;77;
2023-09-02;2100;0;19.9;16.1;79;
2023-09-02;2200;0;18.2;16;87;
2023-09-02;2300;0;18.4;15.7;84;
2023-09-03;0000;0;16.5;15.3;93;
2023-09-03;0100;0;14.9;14.2;95;
2023-09-03;0200;0;15.4;14.9;97;
2023-09-03;0300;0;13.9;13.5;97;
2023-09-03;0400;0;14.4;14;97;
2023-09-03;0500;0;14.2;13.8;97;
2023-09-03;0600;0;14.6;14.3;98;
2023-09-03;0700;5;15.2;14.8;97;
2023-09-03;0800;15;16.8;16.2;96;
2023-09-03;0900;0;16.4;15.5;94;
2023-09-03;1000;.4;16.3;15.7;96;
2023-09-03;1100;5.2;16.6;16;96;
2023-09-03;1200;4.4;16.6;16.1;97;
2023-09-03;1300;8.6;16.9;16.4;97;
2023-09-03;1400;5.4;17.1;16.6;97;
2023-09-03;1500;4;17.6;17.2;97;
2023-09-03;1600;3.2;17.7;17.1;97;
2023-09-03;1700;1.8;17.8;17.3;97;
2023-09-03;1800;2;18.3;17.7;97;
2023-09-03;1900;.2;19.1;17.9;93;
2023-09-03;2000;0;19.3;18.1;93;
2023-09-03;2100;0;18.8;17.9;95;
2023-09-03;2200;0;18.1;17.5;96;
2023-09-03;2300;.4;18.1;17.6;97;
2023-09-04;0000;1.6;18.4;17.9;97;
2023-09-04;0100;5.6;19.2;18.6;96;
2023-09-04;0200;8.6;19.4;18.7;96;
2023-09-04;0300;3.6;18.9;18.2;96;
2023-09-04;0400;2.2;18.5;18;97;
2023-09-04;0500;2.2;18.5;18;97;
2023-09-04;0600;20.2;18.5;18;97;
2023-09-04;0700;18.8;18.5;18;97;
2023-09-04;0800;11.4;18.5;18.1;97;
2023-09-04;0900;8.2;18.5;18.1;97;
2023-09-04;1000;20;18.5;18.1;97;
2023-09-04;1100;11.8;18.6;18.2;97;
2023-09-04;1200;3.2;18.9;18.4;97;
2023-09-04;1300;3.8;18.8;18.4;97;
2023-09-04;1400;11.6;18.8;18.4;97;
2023-09-04;1500;5.6;19;18.6;97;
2023-09-04;1600;5.8;18.4;17.9;97;
2023-09-04;1700;4.6;17.9;17.3;96;
2023-09-04;1800;6.4;18.2;17.7;97;
2023-09-04;1900;6.2;17.5;16.9;96;
2023-09-04;2000;8.6;17.5;17;97;
2023-09-04;2100;0;17.6;17;97;
2023-09-04;2200;0;17.5;16.9;96;
2023-09-04;2300;0;17.1;16.4;95;
2023-09-05;0000;1.4;16.4;15.7;96;
2023-09-05;0100;6.4;15.1;13.9;92;
2023-09-05;0200;.4;14.3;13;91;
2023-09-05;0300;.2;13.8;12.4;91;
2023-09-05;0400;.2;13.2;12.3;94;
2023-09-05;0500;.2;12.9;11.9;93;
2023-09-05;0600;0;12.6;11.7;94;
2023-09-05;0700;0;12.2;11.5;95;
2023-09-05;0800;.2;11.8;11.2;96;
2023-09-05;0900;0;11.8;11.2;96;
2023-09-05;1000;.2;11.7;11.1;96;
2023-09-05;1100;0;11.5;10.8;96;
2023-09-05;1200;0;12.4;10.9;91;
2023-09-05;1300;0;13.1;10.8;86;
2023-09-05;1400;0;14.1;10.5;79;
2023-09-05;1500;0;16;10.5;70;
2023-09-05;1600;0;15.6;11;74;
2023-09-05;1700;0;17.3;10;62;
2023-09-05;1800;0;17.4;10.7;65;
2023-09-05;1900;0;17.6;10.9;65;
2023-09-05;2000;.2;16.1;10.8;71;
2023-09-05;2100;0;13.6;10.3;80;
2023-09-05;2200;0;11.8;9.5;86;
2023-09-05;2300;0;10.4;8.3;87;
2023-09-06;0000;0;9.5;7.9;90;
2023-09-06;0100;0;9.1;7.8;92;
2023-09-06;0200;0;8.7;7.5;92;
2023-09-06;0300;0;8.3;7.3;93;
2023-09-06;0400;0;8.2;7.4;95;
2023-09-06;0500;0;8.6;8;96;
2023-09-06;0600;0;8.9;8.2;95;
2023-09-06;0700;0;8.6;7.8;95;
2023-09-06;0800;0;8.4;7.6;95;
2023-09-06;0900;0;8.2;7.6;96;
2023-09-06;1000;0;8.4;7.8;96;
2023-09-06;1100;0;9.1;8.3;94;
2023-09-06;1200;0;10.1;8.6;91;
2023-09-06;1300;0;13;10.2;83;
2023-09-06;1400;0;17.3;10.9;66;
2023-09-06;1500;0;19.4;12;62;
2023-09-06;1600;0;20.2;12.3;60;
2023-09-06;1700;0;20.8;12.1;58;
2023-09-06;1800;0;21.4;12;55;
2023-09-06;1900;0;20.9;11.4;55;
2023-09-06;2000;0;19.4;11.4;60;
2023-09-06;2100;0;17.4;11.2;67;
2023-09-06;2200;0;16.6;11.1;70;
2023-09-06;2300;0;16.3;10.9;71;

