Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;12.4;9.6;83;
2023-09-01;0100;0;12.3;9;80;
2023-09-01;0200;0;11.9;8.8;82;
2023-09-01;0300;0;11.7;8.5;81;
2023-09-01;0400;0;11.7;8.1;78;
2023-09-01;0500;0;11.4;7.7;78;
2023-09-01;0600;0;11.4;7.5;77;
2023-09-01;0700;0;11.7;7.2;74;
2023-09-01;0800;0;11.9;6.9;72;
2023-09-01;0900;0;11.8;6.8;72;
2023-09-01;1000;0;11.3;6.9;74;
2023-09-01;1100;0;14.2;7.9;66;
2023-09-01;1200;0;16.7;8.9;60;
2023-09-01;1300;0;19;8.8;51;
2023-09-01;1400;0;21.3;8.7;45;
2023-09-01;1500;0;22.1;9.2;44;
2023-09-01;1600;0;21.6;8.8;44;
2023-09-01;1700;0;20.9;8.3;45;
2023-09-01;1800;0;21.1;8.7;45;
2023-09-01;1900;0;20.5;8.8;47;
2023-09-01;2000;0;19.4;9.4;52;
2023-09-01;2100;0;17.3;10.9;66;
2023-09-01;2200;0;15.3;12.1;81;
2023-09-01;2300;0;15.3;11.8;80;
2023-09-02;0000;0;16.5;10.5;68;
2023-09-02;0100;0;15.3;11.3;77;
2023-09-02;0200;0;14.8;11.1;79;
2023-09-02;0300;0;14.3;11.1;81;
2023-09-02;0400;0;13.8;11.2;84;
2023-09-02;0500;0;13.2;11.1;87;
2023-09-02;0600;0;13.2;10.6;84;
2023-09-02;0700;0;13.1;10.6;85;
2023-09-02;0800;.2;12.3;11.3;94;
2023-09-02;0900;2.4;11.5;11.5;100;
2023-09-02;1000;1.4;12.3;12.3;100;
2023-09-02;1100;.8;13.3;13.3;100;
2023-09-02;1200;0;14.8;13.8;94;
2023-09-02;1300;0;15.1;13.6;91;
2023-09-02;1400;0;16.3;14;86;
2023-09-02;1500;0;18.9;13.9;73;
2023-09-02;1600;0;20.5;14.9;70;
2023-09-02;1700;0;19.9;14.1;69;
2023-09-02;1800;0;19.5;14.2;72;
2023-09-02;1900;0;18.4;14.1;76;
2023-09-02;2000;0;17.7;14.4;81;
2023-09-02;2100;0;17.1;14.5;85;
2023-09-02;2200;0;16.5;14.5;88;
2023-09-02;2300;0;15.9;15.7;99;
2023-09-03;0000;0;16.2;14.2;88;
2023-09-03;0100;0;14.9;14.7;98;
2023-09-03;0200;0;14.6;14.6;100;
2023-09-03;0300;0;14.1;14.1;100;
2023-09-03;0400;0;13.6;13.6;100;
2023-09-03;0500;0;14.6;13.9;95;
2023-09-03;0600;0;15.6;13.3;87;
2023-09-03;0700;0;14.7;13.5;93;
2023-09-03;0800;0;16.5;12;75;
2023-09-03;0900;0;17;11.7;71;
2023-09-03;1000;.2;15.6;13.1;85;
2023-09-03;1100;.2;15.2;14;92;
2023-09-03;1200;0;16;13.3;84;
2023-09-03;1300;.2;15.4;14.8;97;
2023-09-03;1400;5.6;14.7;14.7;100;
2023-09-03;1500;4.2;14.6;14.6;100;
2023-09-03;1600;3.8;14.7;14.7;100;
2023-09-03;1700;5.4;15.7;15.7;100;
2023-09-03;1800;1.8;16.5;16.5;100;
2023-09-03;1900;.4;16.9;16.9;100;
2023-09-03;2000;2.2;17;17;100;
2023-09-03;2100;0;17.5;17.5;100;
2023-09-03;2200;0;17.4;17.4;100;
2023-09-03;2300;0;17.4;17.4;100;
2023-09-04;0000;.2;18.2;18.2;100;
2023-09-04;0100;6;17.6;17.6;100;
2023-09-04;0200;7.6;16.7;16.7;100;
2023-09-04;0300;16.6;16.7;16.7;100;
2023-09-04;0400;4;17;17;100;
2023-09-04;0500;5.2;16.9;16.9;100;
2023-09-04;0600;7.4;16.6;16.6;100;
2023-09-04;0700;4;16.5;16.5;100;
2023-09-04;0800;3.6;16.3;16.3;100;
2023-09-04;0900;27.4;16.2;16.2;100;
2023-09-04;1000;8;16.1;16.1;100;
2023-09-04;1100;5.2;16.2;16.2;100;
2023-09-04;1200;25.4;16.3;16.3;100;
2023-09-04;1300;5.8;16.5;16.5;100;
2023-09-04;1400;20.4;16.9;16.9;100;
2023-09-04;1500;21.8;17.2;17.2;100;
2023-09-04;1600;8;17.4;17.4;100;
2023-09-04;1700;1;16.9;16.9;100;
2023-09-04;1800;8;16.6;16.6;100;
2023-09-04;1900;3.8;16.8;16.8;100;
2023-09-04;2000;1.2;17.1;17.1;100;
2023-09-04;2100;5.6;16.6;16.6;100;
2023-09-04;2200;4.8;16.3;16.3;100;
2023-09-04;2300;.4;16.5;16.5;100;
2023-09-05;0000;0;16.1;16.1;100;
2023-09-05;0100;0;15.7;15.7;100;
2023-09-05;0200;.4;15.2;15.2;100;
2023-09-05;0300;5.8;12;12;100;
2023-09-05;0400;.4;11.2;11.2;100;
2023-09-05;0500;0;10.7;10.7;100;
2023-09-05;0600;0;10.4;10.4;100;
2023-09-05;0700;.2;10.1;10.1;100;
2023-09-05;0800;0;9.8;9.8;100;
2023-09-05;0900;0;9.4;9.4;100;
2023-09-05;1000;0;8.8;8.7;100;
2023-09-05;1100;0;9.1;9;100;
2023-09-05;1200;.2;9.3;9.3;100;
2023-09-05;1300;0;10.7;8.2;85;
2023-09-05;1400;0;12.5;9;80;
2023-09-05;1500;0;13.6;8.4;71;
2023-09-05;1600;0;13.8;5.9;59;
2023-09-05;1700;0;15.1;6.4;56;
2023-09-05;1800;0;15.6;5.4;51;
2023-09-05;1900;0;16.1;6.5;53;
2023-09-05;2000;0;12.8;10.3;85;
2023-09-05;2100;0;10.6;8.9;89;
2023-09-05;2200;0;9.3;7.4;88;
2023-09-05;2300;0;8.2;8.2;100;
2023-09-06;0000;0;7.7;7.7;100;
2023-09-06;0100;0;7.3;7.3;100;
2023-09-06;0200;0;6.9;6.9;100;
2023-09-06;0300;0;6.8;6.8;100;
2023-09-06;0400;0;6.6;6.6;100;
2023-09-06;0500;0;6.8;6.8;100;
2023-09-06;0600;0;6.6;6.6;100;
2023-09-06;0700;0;6.5;6.3;99;
2023-09-06;0800;0;6.5;6.4;99;
2023-09-06;0900;0;7.2;5.4;89;
2023-09-06;1000;0;7.1;5.9;92;
2023-09-06;1100;0;8.8;6.9;88;
2023-09-06;1200;0;10.1;7.2;82;
2023-09-06;1300;0;10.9;7.5;80;
2023-09-06;1400;0;11.9;7.5;74;
2023-09-06;1500;0;13.2;7.5;68;
2023-09-06;1600;0;12.7;8.4;75;
2023-09-06;1700;0;12;9.3;83;
2023-09-06;1800;0;12.1;9.9;87;
2023-09-06;1900;0;10.9;10.9;100;
2023-09-06;2000;0;10.8;10.8;100;
2023-09-06;2100;0;10.8;10.8;100;
2023-09-06;2200;0;10.8;10.8;100;
2023-09-06;2300;.2;10.4;10.4;100;

