Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Fechada
Data Inicial: 2023-09-01
Data Final: 2023-09-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2023-09-01;0000;0;15.7;11.4;76;
2023-09-01;0100;0;15.4;11.5;78;
2023-09-01;0200;0;15.4;11.9;80;
2023-09-01;0300;0;15.3;12.1;81;
2023-09-01;0400;0;15.8;12.8;82;
2023-09-01;0500;0;15.8;13;83;
2023-09-01;0600;0;15.4;12.8;84;
2023-09-01;0700;0;15.5;13.1;85;
2023-09-01;0800;0;15;12.7;86;
2023-09-01;0900;0;13.9;11.7;87;
2023-09-01;1000;0;13.3;11.4;88;
2023-09-01;1100;0;15.2;13.3;89;
2023-09-01;1200;0;18.4;16.5;89;
2023-09-01;1300;0;20.6;18.5;88;
2023-09-01;1400;0;21.6;18.8;84;
2023-09-01;1500;0;20.2;16.8;81;
2023-09-01;1600;0;22.4;18.5;79;
2023-09-01;1700;0;22.8;18.4;76;
2023-09-01;1800;0;22.4;17.5;74;
2023-09-01;1900;0;22.5;17.3;73;
2023-09-01;2000;0;21.6;16.3;72;
2023-09-01;2100;0;20.3;15.5;74;
2023-09-01;2200;0;19.1;14.7;75;
2023-09-01;2300;0;19.1;14.9;77;
2023-09-02;0000;0;18.7;14.6;77;
2023-09-02;0100;0;18.2;14.5;79;
2023-09-02;0200;0;18;14.7;81;
2023-09-02;0300;.2;17.6;14.7;83;
2023-09-02;0400;0;17.6;15.1;85;
2023-09-02;0500;0;17.8;15.4;86;
2023-09-02;0600;0;17.9;15.7;87;
2023-09-02;0700;0;18.3;16.2;87;
2023-09-02;0800;0;19.4;17.2;87;
2023-09-02;0900;0;18.9;16.4;86;
2023-09-02;1000;0;17.7;15.2;86;
2023-09-02;1100;0;18.6;16.3;86;
